,long_name,potential,best_overall,Plus-Minus Per Min,Season
0,David de Gea,87.0,87.0,0.0005847953216374,2021-2022
1,Victor Lindelöf,82.0,82.0,-0.0029825308904985,2021-2022
3,Bruno Miguel Borges Fernandes,88.0,87.0,-0.0009618467457518,2021-2022
4,Raphaël Varane,86.0,85.0,0.0043859649122807,2021-2022
5,José Diogo Dalot Teixeira,84.0,78.0,0.0011217049915872,2021-2022
6,Alex Nicolao Telles,80.0,80.0,0.0,2021-2022
7,Nemanja Matić,79.0,79.0,-0.0021802325581395,2021-2022
8,Anthony Elanga,85.0,72.0,0.0033195020746887,2021-2022
9,Scott McTominay,84.0,82.0,0.0016785564414603,2021-2022
11,Frederico de Paula Santos,80.0,80.0,0.0019665683382497,2021-2022
12,Edinson Cavani,82.0,82.0,0.001360544217687,2021-2022
13,David de Gea,86.0,86.0,0.0060975609756097,2020-2021
14,Victor Lindelöf,84.0,82.0,0.011214230471771,2020-2021
15,Paul Pogba,86.0,86.0,0.0047669491525423,2020-2021
16,Edinson Cavani,84.0,84.0,0.0066420664206642,2020-2021
17,Mason Greenwood,89.0,79.0,0.0061179087875417,2020-2021
18,Frederico de Paula Santos,82.0,81.0,0.010016694490818,2020-2021
19,Bruno Miguel Borges Fernandes,91.0,89.0,0.0102926986169186,2020-2021
20,Luke Shaw,85.0,83.0,0.0064223649414431,2020-2021
21,Aaron Wan-Bissaka,87.0,84.0,0.0094771241830065,2020-2021
22,Scott McTominay,85.0,81.0,0.0113906027527289,2020-2021
23,Dean Henderson,87.0,80.0,0.0124555160142348,2020-2021
24,Eric Bailly,82.0,81.0,0.0,2020-2021
25,Juan Manuel Mata García,78.0,78.0,0.0157170923379174,2020-2021
26,Marcus Rashford,91.0,86.0,0.0061601642710472,2020-2021
27,Alex Nicolao Telles,83.0,83.0,0.0057803468208092,2020-2021
28,Nemanja Matić,79.0,79.0,0.0018365472910927,2020-2021
29,Donny van de Beek,86.0,83.0,0.0105263157894736,2020-2021
30,David de Gea,88.0,88.0,0.0079772079772079,2019-2020
31,Victor Lindelöf,85.0,82.0,0.0084798994974874,2019-2020
32,Harry Maguire,86.0,84.0,0.0079772079772079,2019-2020
33,Paul Pogba,88.0,87.0,0.0182724252491694,2019-2020
34,Anthony Martial,87.0,84.0,0.0106461086637298,2019-2020
35,Marcus Rashford,89.0,85.0,0.0105461393596986,2019-2020
36,Bruno Miguel Borges Fernandes,89.0,87.0,0.0184409052808046,2019-2020
37,Mason Greenwood,89.0,75.0,0.0162162162162162,2019-2020
38,Nemanja Matić,80.0,80.0,0.0125523012552301,2019-2020
39,Brandon Williams,86.0,73.0,0.0065481758652946,2019-2020
40,Juan Manuel Mata García,80.0,80.0,-0.0013927576601671,2019-2020
41,Jesse Lingard,78.0,78.0,0.0043525571273122,2019-2020
42,Frederico R. de Paula Santos,82.0,82.0,0.0031124944419742,2019-2020
43,Daniel James,83.0,78.0,0.0012684989429175,2019-2020
44,Aaron Wan-Bissaka,89.0,83.0,0.0088579563429294,2019-2020
45,Scott McTominay,86.0,81.0,0.0051369863013698,2019-2020
46,David de Gea,92.0,88.0,0.0040935672514619,2018-2019
47,Phil Jones,80.0,78.0,0.0103585657370517,2018-2019
48,Paul Pogba,91.0,85.0,0.0049817336433078,2018-2019
49,Marcus Rashford,90.0,83.0,0.0046570702794242,2018-2019
50,Chris Smalling,80.0,79.0,0.0009398496240601,2018-2019
51,Jesse Lingard,83.0,82.0,0.0066225165562913,2018-2019
53,Ashley Young,79.0,77.0,0.0030757400999615,2018-2019
54,José Diogo Dalot Teixeira,85.0,74.0,0.0049950049950049,2018-2019
55,Scott McTominay,83.0,74.0,-0.0047619047619047,2018-2019
56,Juan Manuel Mata García,82.0,82.0,0.0100853374709076,2018-2019
57,Anthony Martial,90.0,83.0,0.0049504950495049,2018-2019
58,Frederico R. de Paula Santos,82.0,79.0,-0.0019286403085824,2018-2019
59,Antonio Valencia,78.0,78.0,0.0042918454935622,2018-2019
60,Eric Bailly,89.0,83.0,0.0191919191919191,2017-2018
61,Marcos Rojo,81.0,79.0,0.0077881619937694,2017-2018
62,Alexis Sánchez,88.0,85.0,0.0066536203522504,2017-2018
63,Juan Manuel Mata García,83.0,82.0,0.0129870129870129,2017-2018
64,Ashley Young,79.0,78.0,0.0077868852459016,2017-2018
65,Marcus Rashford,90.0,81.0,0.0101351351351351,2017-2018
67,Phil Jones,81.0,79.0,0.0136708860759493,2017-2018
68,Paul Pogba,92.0,85.0,0.0134135060129509,2017-2018
69,Jesse Lingard,84.0,81.0,0.0126931567328918,2017-2018
70,Ander Herrera Agüera,83.0,83.0,0.0048038430744595,2017-2018
71,Luke Shaw,83.0,78.0,0.015228426395939,2017-2018
72,Antonio Valencia,83.0,83.0,0.0131243164418519,2017-2018
73,Eric Bailly,90.0,82.0,0.0090175605125771,2016-2017
74,Phil Jones,83.0,79.0,0.007570977917981,2016-2017
76,Wayne Rooney,82.0,80.0,0.005813953488372,2016-2017
77,Jesse Lingard,81.0,78.0,0.0053872053872053,2016-2017
78,Anthony Martial,90.0,81.0,0.0038338658146964,2016-2017
79,Michael Carrick,82.0,80.0,0.004375,2016-2017
80,Daley Blind,82.0,81.0,0.0034843205574912,2016-2017
81,David de Gea,90.0,86.0,0.0042483660130718,2015-2016
82,Juan Manuel Mata García,83.0,84.0,0.0037112010796221,2015-2016
83,Wayne Rooney,85.0,83.0,0.0053964300539643,2015-2016
84,Anthony Martial,86.0,80.0,0.0030395136778115,2015-2016
85,Chris Smalling,85.0,83.0,0.0038095238095238,2015-2016
86,Jesse Lingard,82.0,76.0,0.0073755377996312,2015-2016
87,Michael Carrick,80.0,79.0,0.0035478966041561,2015-2016
88,Daley Blind,81.0,81.0,0.0025665704202759,2015-2016
92,Phil Jones,84.0,80.0,0.0057803468208092,2015-2016
93,Memphis,86.0,80.0,0.0,2015-2016
94,Ashley Young,79.0,79.0,-0.0038204393505253,2015-2016
95,Ander Herrera Agüera,82.0,82.0,0.0039603960396039,2015-2016
96,David de Gea,89.0,85.0,0.0072420036210018,2014-2015
97,Phil Jones,82.0,78.0,0.0085378868729989,2014-2015
98,Marcos Rojo,82.0,78.0,0.0102098695405558,2014-2015
99,Juan Manuel Mata García,85.0,84.0,0.0069625761531766,2014-2015
100,Radamel Falcao,86.0,84.0,0.0087440381558028,2014-2015
101,Chris Smalling,83.0,78.0,0.0036269430051813,2014-2015
102,Daley Blind,83.0,78.0,0.0064427059364933,2014-2015
103,Ashley Young,78.0,78.0,0.0082165297245045,2014-2015
104,Ander Herrera Agüera,84.0,81.0,0.0085561497326203,2014-2015
105,Antonio Valencia,80.0,79.0,0.0085172280294231,2014-2015
106,Marouane Fellaini,77.0,77.0,0.009229098805646,2014-2015
107,Ángel Di María,85.0,85.0,0.0048989589712186,2014-2015
108,Adnan Januzaj,86.0,75.0,0.0023923444976076,2014-2015
109,Robin van Persie,85.0,83.0,0.007572172266919,2014-2015
112,David de Gea,87.0,82.0,0.0048048048048048,2013-2014
113,Adnan Januzaj,87.0,74.0,0.0122324159021406,2013-2014
114,Phil Jones,84.0,79.0,0.0073563218390804,2013-2014
115,Chris Smalling,81.0,76.0,0.0051786639047125,2013-2014
116,Michael Carrick,80.0,79.0,0.0041442188147534,2013-2014
117,Alexander Büttner,77.0,73.0,0.0123203285420944,2013-2014
118,Marouane Fellaini,82.0,79.0,0.0051057622173595,2013-2014
119,Shinji Kagawa,85.0,82.0,0.0111111111111111,2013-2014
120,Antonio Valencia,81.0,80.0,0.0114107883817427,2013-2014
121,Ashley Young,79.0,79.0,-0.0009900990099009,2013-2014
122,Nemanja Vidić,85.0,83.0,0.0047778308647873,2013-2014
123,Robin van Persie,89.0,86.0,0.0044191919191919,2013-2014
124,Juan Manuel Mata García,88.0,86.0,0.005819592628516,2013-2014
125,David de Gea,85.0,80.0,0.0134920634920634,2012-2013
126,Phil Jones,84.0,78.0,0.0058626465661641,2012-2013
127,Danny Welbeck,84.0,78.0,0.0132501948558067,2012-2013
128,Michael Carrick,82.0,81.0,0.0114980289093298,2012-2013
129,Shinji Kagawa,86.0,82.0,0.0136570561456752,2012-2013
130,Rio Ferdinand,83.0,82.0,0.0125215889464594,2012-2013
131,Patrice Evra,82.0,81.0,0.0117647058823529,2012-2013
132,Nemanja Vidić,87.0,86.0,0.0111248454882571,2012-2013
133,Robin van Persie,89.0,86.0,0.0108834827144686,2012-2013
134,Javier Hernández,85.0,81.0,0.021551724137931,2012-2013
135,Anders Lindegaard,80.0,78.0,0.0066666666666666,2012-2013
136,Anderson Luis de Abreu Oliveira,80.0,78.0,0.0135467980295566,2012-2013
137,Jonny Evans,80.0,79.0,0.0157645822385706,2012-2013
138,Tom Cleverley,83.0,78.0,0.0145027624309392,2012-2013
139,Ryan Giggs,80.0,81.0,0.0122807017543859,2012-2013
140,Antonio Valencia,83.0,82.0,0.010919017288444,2012-2013
141,David de Gea,84.0,78.0,0.0153256704980842,2011-2012
142,Javier Hernández,86.0,82.0,0.021117166212534,2011-2012
143,Wayne Rooney,92.0,87.0,0.018348623853211,2011-2012
144,Phil Jones,89.0,78.0,0.0127298444130127,2011-2012
145,Ashley Young,88.0,83.0,0.0147341447789878,2011-2012
146,Chris Smalling,84.0,78.0,0.0177880897138437,2011-2012
147,Michael Carrick,81.0,80.0,0.0176565008025682,2011-2012
148,Rio Ferdinand,84.0,83.0,0.0132553606237816,2011-2012
149,Patrice Evra,84.0,83.0,0.0176034589252625,2011-2012
150,Paul Scholes,81.0,83.0,0.020530367835757,2011-2012
151,Antonio Valencia,85.0,82.0,0.0184484389782403,2011-2012
152,Rafael Pereira da Silva,82.0,77.0,0.0159840159840159,2011-2012
153,Dimitar Berbatov,82.0,81.0,0.0135658914728682,2011-2012
154,Ryan Giggs,82.0,83.0,0.0143737166324435,2011-2012
155,Luís Carlos Almeida da Cunha,89.0,86.0,0.0147548786292241,2011-2012
