,Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min,sofifa_id,player_url,short_name,long_name,age,nationality,club_name,league_name,player_positions,potential,weight_kg,foot,best_overall,best_position,growth,joined,loan_date_end,value,wage,release_clause,total_attacking,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,total_skill,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,total_movement,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,total_power,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,total_mentality,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,total_defending,defending_marking,defending_standing_tackle,defending_sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_positioning,gk_reflexes,total_stats,base_stats,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,international_reputation,pace_/_diving,shooting_/_handling,passing_/_kicking,dribbling_/_reflexes,defending_/_pace,physical_/_positioning,season
0,2021-2022,Manchester United,David de Gea,3420,56,54,2,0.0005847953216374,193080.0,/player/193080/david-de-gea-quintana/220069/,De Gea,David de Gea,30.0,Spain,Manchester United,[England] Premier Le,GK,87.0,76kg / 168lbs,Right,87.0,GK,0.0,"Jul 1, 2011",,€53M,€150K,€98.1M,112.0,17.0,13.0,21.0,48.0,13.0,139.0,18.0,21.0,19.0,43.0,38.0,310.0,57.0,58.0,63.0,89.0,43.0,234.0,57.0,67.0,43.0,55.0,12.0,167.0,38.0,30.0,12.0,58.0,29.0,60.0,59.0,25.0,21.0,13.0,417.0,88.0,80.0,84.0,89.0,1438.0,474.0,3.0,1.0,Medium,Medium,4.0,88.0,80.0,76.0,89.0,57.0,84.0,2021-2022
1,2021-2022,Manchester United,Victor Lindelöf,2347,38,45,-7,-0.0029825308904985,221660.0,/player/221660/victor-lindelof/220069/,V. Lindelöf,Victor Lindelöf,26.0,Sweden,Manchester United,[England] Premier Le,CDM,82.0,80kg / 176lbs,Right,82.0,CDM,2.0,"Jul 1, 2017",,€23M,€105K,€44.3M,297.0,62.0,42.0,76.0,79.0,38.0,344.0,70.0,64.0,53.0,81.0,76.0,329.0,61.0,65.0,62.0,81.0,60.0,354.0,72.0,77.0,77.0,76.0,52.0,344.0,83.0,84.0,51.0,72.0,54.0,83.0,243.0,82.0,82.0,79.0,52.0,12.0,16.0,7.0,9.0,1963.0,418.0,4.0,3.0,Medium,High,2.0,63.0,51.0,72.0,72.0,82.0,78.0,2021-2022
2,2021-2022,Manchester United,Cristiano Ronaldo,2459,39,39,0,0.0,20801.0,/player/20801/c-ronaldo-dos-santos-aveiro/220069/,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,36.0,Portugal,Manchester United,[England] Premier Le,ST,91.0,83kg / 183lbs,Right,91.0,ST,0.0,"Aug 27, 2021",,€45M,€270K,€83.3M,434.0,84.0,94.0,90.0,80.0,86.0,411.0,86.0,81.0,79.0,77.0,88.0,417.0,82.0,87.0,82.0,94.0,72.0,435.0,94.0,95.0,77.0,77.0,92.0,353.0,63.0,29.0,95.0,76.0,90.0,95.0,80.0,24.0,32.0,24.0,58.0,7.0,11.0,14.0,11.0,2188.0,453.0,4.0,5.0,High,Medium,5.0,85.0,93.0,80.0,86.0,34.0,75.0,2021-2022
3,2021-2022,Manchester United,Bruno Fernandes,3119,49,52,-3,-0.0009618467457518,212198.0,/player/212198/bruno-miguel-borges-fernandes/220069/,Bruno Fernandes,Bruno Miguel Borges Fernandes,26.0,Portugal,Manchester United,[England] Premier Le,CAM,88.0,69kg / 152lbs,Right,87.0,CAM,1.0,"Jan 30, 2020",,€94M,€210K,€181M,407.0,85.0,83.0,64.0,88.0,87.0,425.0,80.0,87.0,85.0,88.0,85.0,401.0,77.0,73.0,81.0,91.0,79.0,406.0,88.0,73.0,91.0,66.0,88.0,411.0,80.0,64.0,86.0,91.0,90.0,80.0,204.0,66.0,73.0,65.0,63.0,12.0,14.0,8.0,14.0,2317.0,473.0,3.0,4.0,High,High,3.0,75.0,86.0,88.0,82.0,67.0,75.0,2021-2022
4,2021-2022,Manchester United,Raphaël Varane,1824,29,21,8,0.0043859649122807,201535.0,/player/201535/raphael-varane/220069/,R. Varane,Raphaël Varane,28.0,France,Manchester United,[England] Premier Le,CB,86.0,81kg / 179lbs,Right,85.0,CB,1.0,"Jul 27, 2021",,€51M,€170K,€98.2M,294.0,42.0,46.0,86.0,78.0,42.0,308.0,59.0,46.0,52.0,75.0,76.0,347.0,79.0,85.0,62.0,82.0,39.0,342.0,52.0,80.0,70.0,87.0,53.0,320.0,78.0,85.0,55.0,59.0,43.0,82.0,257.0,85.0,87.0,85.0,50.0,11.0,11.0,5.0,14.0,1918.0,428.0,3.0,2.0,Medium,High,3.0,82.0,49.0,64.0,66.0,86.0,81.0,2021-2022
5,2021-2022,Manchester United,Diogo Dalot,1783,28,26,2,0.0011217049915872,234574.0,/player/234574/jose-diogo-dalot-teixeira/220069/,Diogo Dalot,José Diogo Dalot Teixeira,22.0,Portugal,Manchester United,[England] Premier Le,RB,84.0,76kg / 168lbs,Right,78.0,RB,6.0,"Jun 9, 2018",,€21M,€78K,€43.1M,321.0,77.0,52.0,70.0,78.0,44.0,347.0,80.0,78.0,44.0,68.0,77.0,388.0,82.0,80.0,79.0,75.0,72.0,377.0,78.0,84.0,76.0,75.0,64.0,340.0,79.0,74.0,74.0,70.0,43.0,75.0,220.0,70.0,76.0,74.0,40.0,10.0,6.0,6.0,8.0,2033.0,442.0,4.0,3.0,High,Medium,2.0,81.0,60.0,73.0,78.0,73.0,77.0,2021-2022
6,2021-2022,Manchester United,Alex Telles,1649,25,25,0,0.0,212462.0,/player/212462/alex-nicolao-telles/220069/,Alex Telles,Alex Nicolao Telles,28.0,Brazil,Manchester United,[England] Premier Le,LB,80.0,71kg / 157lbs,Left,80.0,LB,0.0,"Oct 5, 2020",,€19M,€110K,€35.2M,359.0,84.0,63.0,66.0,80.0,66.0,401.0,77.0,87.0,79.0,79.0,79.0,385.0,79.0,82.0,75.0,79.0,70.0,396.0,87.0,81.0,83.0,62.0,83.0,392.0,76.0,79.0,76.0,78.0,83.0,75.0,227.0,74.0,77.0,76.0,58.0,13.0,8.0,11.0,14.0,2218.0,459.0,2.0,3.0,High,Low,3.0,81.0,74.0,81.0,77.0,75.0,71.0,2021-2022
7,2021-2022,Manchester United,Nemanja Matić,1376,20,23,-3,-0.0021802325581395,191202.0,/player/191202/nemanja-matic/220069/,N. Matić,Nemanja Matić,32.0,Serbia,Manchester United,[England] Premier Le,CDM,79.0,83kg / 183lbs,Left,79.0,CDM,0.0,"Jul 31, 2017",,€11.5M,€100K,€21.3M,350.0,68.0,59.0,70.0,82.0,71.0,367.0,74.0,70.0,63.0,82.0,78.0,250.0,33.0,43.0,47.0,78.0,49.0,347.0,84.0,63.0,53.0,80.0,67.0,353.0,76.0,80.0,61.0,72.0,64.0,82.0,231.0,81.0,80.0,70.0,57.0,7.0,15.0,14.0,9.0,1955.0,404.0,3.0,3.0,Low,Medium,3.0,39.0,67.0,76.0,72.0,78.0,72.0,2021-2022
8,2021-2022,Manchester United,Anthony Elanga,1205,20,16,4,0.0033195020746887,257470.0,/player/257470/anthony-elanga/220069/,A. Elanga,Anthony Elanga,19.0,Sweden,Manchester United,[England] Premier Le,RW,85.0,75kg / 165lbs,Right,72.0,RW,13.0,"Jul 1, 2020",,€5.5M,€41K,€13.6M,326.0,63.0,69.0,65.0,67.0,62.0,319.0,74.0,65.0,61.0,47.0,72.0,401.0,88.0,84.0,83.0,69.0,77.0,328.0,64.0,76.0,73.0,54.0,61.0,262.0,42.0,29.0,72.0,63.0,56.0,68.0,96.0,30.0,35.0,31.0,49.0,13.0,5.0,8.0,10.0,1781.0,380.0,3.0,3.0,High,High,1.0,86.0,66.0,62.0,74.0,35.0,57.0,2021-2022
9,2021-2022,Manchester United,Scott McTominay,2383,38,34,4,0.0016785564414603,237238.0,/player/237238/scott-mctominay/220069/,S. McTominay,Scott McTominay,24.0,Scotland,Manchester United,[England] Premier Le,CDM,84.0,88kg / 194lbs,Right,82.0,CDM,3.0,"Jul 1, 2013",,€32M,€95K,€61.6M,358.0,68.0,71.0,78.0,79.0,62.0,360.0,78.0,72.0,53.0,80.0,77.0,337.0,62.0,69.0,66.0,80.0,60.0,409.0,85.0,73.0,85.0,85.0,81.0,377.0,89.0,83.0,70.0,75.0,60.0,76.0,231.0,77.0,80.0,74.0,42.0,9.0,6.0,10.0,11.0,2114.0,456.0,3.0,3.0,Medium,High,2.0,66.0,75.0,75.0,76.0,79.0,85.0,2021-2022
