Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2020-2021,Fulham,Tom Cairney,753,5,15,-10,-0.013280212483399735
2020-2021,Fulham,Tim Ream,630,3,13,-10,-0.015873015873015872
2020-2021,Fulham,Ivan Cavaleiro,2464,19,41,-22,-0.008928571428571428
2020-2021,Fulham,Harrison Reed,2239,19,34,-15,-0.006699419383653417
2020-2021,Fulham,Joe Bryan,647,6,16,-10,-0.015455950540958269
2020-2021,Fulham,Alphonse Areola,3240,26,47,-21,-0.006481481481481481
2020-2021,Fulham,Aleksandar Mitrović,1358,11,24,-13,-0.009572901325478646
2020-2021,Fulham,Bobby Reid,2381,19,32,-13,-0.005459890802183957
2020-2021,Fulham,Andre-Frank Zambo Anguissa,2573,18,40,-22,-0.008550330353672756
2020-2021,Crystal Palace,Vicente Guaita,3330,36,64,-28,-0.008408408408408409
2020-2021,Crystal Palace,Joel Ward,2250,25,43,-18,-0.008
2020-2021,Crystal Palace,Scott Dann,1350,12,24,-12,-0.008888888888888889
2020-2021,Crystal Palace,Cheikhou Kouyaté,3122,37,56,-19,-0.006085842408712364
2020-2021,Crystal Palace,Jordan Ayew,2074,20,42,-22,-0.010607521697203472
2020-2021,Crystal Palace,Andros Townsend,2243,24,37,-13,-0.0057958091841284
2020-2021,Crystal Palace,Wilfried Zaha,2613,35,52,-17,-0.006505931879066207
2020-2021,Crystal Palace,Jeffrey Schlupp,1410,19,27,-8,-0.005673758865248227
2020-2021,Crystal Palace,James McArthur,1471,18,26,-8,-0.005438477226376614
2020-2021,Crystal Palace,James McCarthy,815,8,15,-7,-0.008588957055214725
2020-2021,Crystal Palace,Tyrick Mitchell,1710,22,32,-10,-0.005847953216374269
2020-2021,Crystal Palace,Luka Milivojević,2359,24,46,-22,-0.009325985587113183
2020-2021,Crystal Palace,Michy Batshuayi,690,7,13,-6,-0.008695652173913044
2020-2021,Crystal Palace,Eberechi Eze,2555,29,51,-22,-0.008610567514677104
2020-2021,Liverpool,Alisson,2970,57,32,25,0.008417508417508417
2020-2021,Liverpool,Georginio Wijnaldum,2941,54,39,15,0.0051003060183611015
2020-2021,Liverpool,Naby Keïta,503,16,8,8,0.015904572564612324
2020-2021,Liverpool,Roberto Firmino,2852,55,39,16,0.005610098176718092
2020-2021,Liverpool,Sadio Mané,2812,51,28,23,0.008179231863442389
2020-2021,Liverpool,Mohamed Salah,3082,57,41,16,0.005191434133679429
2020-2021,Liverpool,Joe Gomez,590,15,14,1,0.001694915254237288
2020-2021,Liverpool,Jordan Henderson,1707,33,24,9,0.005272407732864675
2020-2021,Liverpool,Andrew Robertson,3386,62,42,20,0.005906674542232723
2020-2021,Liverpool,Trent Alexander-Arnold,3033,58,40,18,0.005934718100890208
2020-2021,Liverpool,Fabinho,2566,51,29,22,0.00857365549493375
2020-2021,Liverpool,James Milner,1039,14,10,4,0.0038498556304138597
2020-2021,Liverpool,Curtis Jones,1177,21,14,7,0.00594732370433305
2020-2021,Liverpool,Takumi Minamino,985,23,18,5,0.005076142131979695
2020-2021,Liverpool,Joël Matip,692,17,5,12,0.017341040462427744
2020-2021,West Ham United,Łukasz Fabiański,3150,55,40,15,0.004761904761904762
2020-2021,West Ham United,Aaron Cresswell,3172,58,38,20,0.006305170239596469
2020-2021,West Ham United,Mark Noble,680,9,12,-3,-0.004411764705882353
