Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Brentford,Arsenal,2,0,"['David Raya', 'Rico Henry', 'Ethan Pinnock', 'Christian Nørgaard', 'Sergi Canós', 'Frank Onyeka', 'Ivan Toney', 'Pontus Jansson', 'Bryan Mbeumo', 'Kristoffer Ajer', 'Vitaly Janelt']","['Patrik Gunnarsson', 'Charlie Goode', 'Marcus Forss', 'Yoane Wissa', 'Saman Ghoddos', 'Halil Dervişoğlu', 'Mads Bidstrup', 'Mads Bech Sørensen', 'Mads Roerslev']","['Bernd Leno', 'Kieran Tierney', 'Ben White', 'Emile Smith Rowe', 'Nicolas Pépé', 'Calum Chambers', 'Pablo Marí', 'Albert Sambi Lokonga', 'Folarin Balogun', 'Granit Xhaka', 'Martinelli']","['Karl Jakob Hein', 'Héctor Bellerín', 'Bukayo Saka', 'Ainsley Maitland-Niles', 'Rob Holding', 'Cédric Soares', 'Nuno Tavares', 'Reiss Nelson', 'Mohamed Elneny']","[22, 73]",[],"[[71, 'Kristoffer Ajer', 'Mads Bech Sørensen'], [80, 'Frank Onyeka', 'Mads Bidstrup'], [86, 'Bryan Mbeumo', 'Marcus Forss']]","[[59, 'Folarin Balogun', 'Bukayo Saka'], [71, 'Martinelli', 'Reiss Nelson'], [81, 'Calum Chambers', 'Nuno Tavares']]",[],[]
2021-2022,Manchester United,Leeds United,5,1,"['David de Gea', 'Victor Lindelöf', 'Harry Maguire', 'Paul Pogba', 'Mason Greenwood', 'Fred', 'Bruno Fernandes', 'Daniel James', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Scott McTominay']","['Tom Heaton', 'Juan Mata', 'Anthony Martial', 'Andreas Pereira', 'Diogo Dalot', 'Jadon Sancho', 'Nemanja Matić', 'Brandon Williams', 'Donny van de Beek']","['Illan Meslier', 'Luke Ayling', 'Robin Koch', 'Liam Cooper', 'Patrick Bamford', 'Raphinha', 'Stuart Dallas', 'Rodrigo', 'Pascal Struijk', 'Jack Harrison', 'Mateusz Klich']","['Kristoffer Klaesson', 'Junior Firpo', 'Adam Forshaw', 'Tyler Roberts', 'Hélder Costa', 'Kalvin Phillips', 'Crysencio Summerville', 'Sam Greenwood', 'Jamie Shackleton']","[30, 52, 54, 60, 68]",[48],"[[69, 'Scott McTominay', 'Nemanja Matić'], [75, 'Daniel James', 'Jadon Sancho'], [75, 'Paul Pogba', 'Anthony Martial']]","[[46, 'Rodrigo', 'Junior Firpo'], [69, 'Jack Harrison', 'Hélder Costa'], [77, 'Patrick Bamford', 'Tyler Roberts']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Leicester City,Wolverhampton Wanderers,1,0,"['Kasper Schmeichel', 'Çağlar Söyüncü', 'Harvey Barnes', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Ayoze Pérez', 'Daniel Amartey', 'Ricardo Pereira', 'Wilfred Ndidi', 'Luke Thomas']","['Danny Ward', 'Marc Albrighton', 'Kelechi Iheanacho', 'Hamza Choudhury', 'Kiernan Dewsbury-Hall', 'Jannik Vestergaard', 'Dennis Praet', 'Patson Daka', 'Boubakary Soumaré']","['José Sá', 'Ki-Jana Hoever', 'Fernando Marçal', 'Rúben Neves', 'Raúl Jiménez', 'Francisco Trincão', 'Conor Coady', 'Max Kilman', 'Romain Saïss', 'João Moutinho', 'Adama Traoré']","['John Ruddy', 'Rayan Aït Nouri', 'Fábio Silva', 'Morgan Gibbs-White', 'Nélson Semedo', 'Leander Dendoncker', 'Luke Cundle', 'Christian Marques', 'Chem Campbell']",[41],[],"[[62, 'James Maddison', 'Boubakary Soumaré'], [62, 'Ayoze Pérez', 'Jannik Vestergaard'], [72, 'Harvey Barnes', 'Kelechi Iheanacho']]","[[66, 'João Moutinho', 'Leander Dendoncker'], [86, 'Francisco Trincão', 'Morgan Gibbs-White'], [90, 'Max Kilman', 'Fábio Silva']]",[],[]
2021-2022,Burnley,Brighton & Hove Albion,1,2,"['Nick Pope', 'Matthew Lowton', 'Charlie Taylor', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Dwight McNeil', 'Ashley Westwood', 'Jay Rodriguez']","['Wayne Hennessey', 'Josh Brownhill', 'Ashley Barnes', 'Nathan Collins', 'Erik Pieters', 'Phil Bardsley', 'Matěj Vydra', 'Bobby Thomas', 'Lewis Richardson']","['Robert Sánchez', 'Adam Webster', 'Lewis Dunk', 'Yves Bissouma', 'Neal Maupay', 'Leandro Trossard', 'Enock Mwepu', 'Pascal Groß', 'Steven Alzate', 'Solly March', 'Shane Duffy']","['Jason Steele', 'Michał Karbownik', 'Alexis Mac Allister', 'Adam Lallana', 'Jakub Moder', 'Andi Zeqiri', 'Florin Andone', 'Moisés Caicedo', 'Taylor Richards']",[2],"[73, 78]","[[70, 'Jay Rodriguez', 'Ashley Barnes'], [79, 'Dwight McNeil', 'Josh Brownhill'], [85, 'Jack Cork', 'Matěj Vydra']]","[[46, 'Enock Mwepu', 'Adam Lallana'], [72, 'Steven Alzate', 'Jakub Moder'], [76, 'Leandro Trossard', 'Alexis Mac Allister']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Chelsea,Crystal Palace,3,0,"['Edouard Mendy', 'Antonio Rüdiger', 'Marcos Alonso', 'Andreas Christensen', 'Jorginho', 'Mateo Kovačić', 'Christian Pulisic', 'Timo Werner', 'Trevoh Chalobah', 'Mason Mount', 'César Azpilicueta']","['Kepa Arrizabalaga', 'Thiago Silva', 'Tammy Abraham', 'Kurt Zouma', 'Callum Hudson-Odoi', 'Ben Chilwell', 'Reece James', 'Kai Havertz', 'Emerson Palmieri']","['Vicente Guaita', 'Joel Ward', 'Tyrick Mitchell', 'Marc Guéhi', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Wilfried Zaha', 'Jean-Philippe Mateta', 'Jeffrey Schlupp', 'James McArthur', 'Jaïro Riedewald']","['Jack Butland', 'Joachim Andersen', 'Nathaniel Clyne', 'Christian Benteke', 'Martin Kelly', 'Scott Banks', 'Reece Hannam', 'Robert Street', 'Jesuran Rak Sakyi']","[27, 40, 58]",[],"[[67, 'César Azpilicueta', 'Reece James'], [82, 'Christian Pulisic', 'Kai Havertz'], [86, 'Marcos Alonso', 'Emerson Palmieri']]","[[57, 'Jean-Philippe Mateta', 'Christian Benteke'], [57, 'Jeffrey Schlupp', 'Joachim Andersen'], [77, 'Jaïro Riedewald', 'Jesuran Rak Sakyi']]",[],[]
2021-2022,Watford,Aston Villa,3,2,"['Daniel Bachmann', 'Oghenekaro Etebo', 'William Troost-Ekong', 'Tom Cleverley', 'Adam Masina', 'Ken Sema', 'Craig Cathcart', 'Ismaila Sarr', 'Emmanuel Dennis', 'Christian Kabasele', 'Juraj Kucka']","['Ben Foster', 'Jeremy Ngakia', 'Danny Rose', 'Imran Louza', 'Troy Deeney', 'Dan Gosling', 'Ashley Fletcher', 'Cucho', 'Francisco Sierralta']","['Emiliano Martínez', 'Matty Cash', 'Matt Targett', 'Ezri Konsa', 'Tyrone Mings', 'John McGinn', 'Emi Buendía', 'Ashley Young', 'Marvelous Nakamba', 'Danny Ings', 'Anwar El Ghazi']","['Jed Steer', 'Wesley Moraes', 'Bertrand Traoré', 'Axel Tuanzebe', 'Kortney Hause', 'Leon Bailey', 'Jaden Philogene Bidace', 'Carney Chukwuemeka', 'Jacob Ramsey']","[10, 42, 67]","[70, 90]","[[66, 'Emmanuel Dennis', 'Cucho'], [69, 'Juraj Kucka', 'Dan Gosling'], [79, 'Tom Cleverley', 'Troy Deeney']]","[[46, 'Matt Targett', 'Jacob Ramsey'], [60, 'Anwar El Ghazi', 'Leon Bailey'], [72, 'Emi Buendía', 'Bertrand Traoré']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Everton,Southampton,3,1,"['Jordan Pickford', 'Mason Holgate', 'Michael Keane', 'Allan', 'Richarlison', 'Dominic Calvert-Lewin', 'Demarai Gray', 'Lucas Digne', 'Andros Townsend', 'Abdoulaye Doucouré', 'Séamus Coleman']","['Asmir Begović', 'Jonjoe Kenny', 'Fabian Delph', 'Yerry Mina', 'Alex Iwobi', 'Anthony Gordon', 'Tom Davies', 'Jarrad Branthwaite', 'Nathan Broadhead']","['Alex McCarthy', 'Jack Stephens', 'Oriol Romeu', 'James Ward-Prowse', 'Adam Armstrong', 'Che Adams', 'Romain Perraud', 'Moussa Djenepo', 'Valentino Livramento', 'Mohammed Salisu', 'Theo Walcott']","['Fraser Forster', 'Kyle Walker-Peters', 'Nathan Redmond', 'Stuart Armstrong', 'Nathan Tella', 'Mohamed Elyounoussi', 'Ibrahima Diallo', 'Jan Bednarek', 'Yan Valery']","[47, 76, 81]",[22],"[[70, 'Andros Townsend', 'Alex Iwobi'], [83, 'Demarai Gray', 'Yerry Mina'], [89, 'Richarlison', 'Anthony Gordon']]","[[80, 'Oriol Romeu', 'Ibrahima Diallo'], [80, 'Theo Walcott', 'Nathan Tella'], [83, 'Romain Perraud', 'Nathan Redmond']]",[],[]
