Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Home Sub Lineup,Away Starting Lineup,Away Bench Lineup,Away Sub Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings
2021-2022,Brentford,Arsenal,2,0,"['David Raya', 'Rico Henry', 'Ethan Pinnock', 'Christian Nørgaard', 'Sergi Canós', 'Frank Onyeka', 'Ivan Toney', 'Pontus Jansson', 'Bryan Mbeumo', 'Kristoffer Ajer', 'Vitaly Janelt']","['Patrik Gunnarsson', 'Charlie Goode', 'Marcus Forss', 'Yoane Wissa', 'Saman Ghoddos', 'Halil Dervişoğlu', 'Mads Bidstrup', 'Mads Bech Sørensen', 'Mads Roerslev']","[[71, 'Mads Bech Sørensen', 'Kristoffer Ajer'], [80, 'Mads Bidstrup', 'Frank Onyeka'], [86, 'Marcus Forss', 'Bryan Mbeumo']]","['Bernd Leno', 'Kieran Tierney', 'Ben White', 'Emile Smith Rowe', 'Nicolas Pépé', 'Calum Chambers', 'Pablo Marí', 'Albert Sambi Lokonga', 'Folarin Balogun', 'Granit Xhaka', 'Martinelli']","['Karl Jakob Hein', 'Héctor Bellerín', 'Bukayo Saka', 'Ainsley Maitland-Niles', 'Rob Holding', 'Cédric Soares', 'Nuno Tavares', 'Reiss Nelson', 'Mohamed Elneny']","[[59, 'Bukayo Saka', 'Folarin Balogun'], [71, 'Reiss Nelson', 'Martinelli'], [81, 'Nuno Tavares', 'Calum Chambers']]","[22, 73]",[],"[[71, 'Mads Bech Sørensen', 'Kristoffer Ajer'], [80, 'Mads Bidstrup', 'Frank Onyeka'], [86, 'Marcus Forss', 'Bryan Mbeumo']]","[[59, 'Bukayo Saka', 'Folarin Balogun'], [71, 'Reiss Nelson', 'Martinelli'], [81, 'Nuno Tavares', 'Calum Chambers']]"
2021-2022,Manchester United,Leeds United,5,1,"['David de Gea', 'Victor Lindelöf', 'Harry Maguire', 'Paul Pogba', 'Mason Greenwood', 'Fred', 'Bruno Fernandes', 'Daniel James', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Scott McTominay']","['Tom Heaton', 'Juan Mata', 'Anthony Martial', 'Andreas Pereira', 'Diogo Dalot', 'Jadon Sancho', 'Nemanja Matić', 'Brandon Williams', 'Donny van de Beek']","[[69, 'Nemanja Matić', 'Scott McTominay'], [75, 'Jadon Sancho', 'Daniel James'], [75, 'Anthony Martial', 'Paul Pogba']]","['Illan Meslier', 'Luke Ayling', 'Robin Koch', 'Liam Cooper', 'Patrick Bamford', 'Raphinha', 'Stuart Dallas', 'Rodrigo', 'Pascal Struijk', 'Jack Harrison', 'Mateusz Klich']","['Kristoffer Klaesson', 'Junior Firpo', 'Adam Forshaw', 'Tyler Roberts', 'Hélder Costa', 'Kalvin Phillips', 'Crysencio Summerville', 'Sam Greenwood', 'Jamie Shackleton']","[[46, 'Junior Firpo', 'Rodrigo'], [69, 'Hélder Costa', 'Jack Harrison'], [77, 'Tyler Roberts', 'Patrick Bamford']]","[30, 52, 54, 60, 68]",[48],"[[69, 'Nemanja Matić', 'Scott McTominay'], [75, 'Jadon Sancho', 'Daniel James'], [75, 'Anthony Martial', 'Paul Pogba']]","[[46, 'Junior Firpo', 'Rodrigo'], [69, 'Hélder Costa', 'Jack Harrison'], [77, 'Tyler Roberts', 'Patrick Bamford']]"
2021-2022,Leicester City,Wolverhampton Wanderers,1,0,"['Kasper Schmeichel', 'Çağlar Söyüncü', 'Harvey Barnes', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Ayoze Pérez', 'Daniel Amartey', 'Ricardo Pereira', 'Wilfred Ndidi', 'Luke Thomas']","['Danny Ward', 'Marc Albrighton', 'Kelechi Iheanacho', 'Hamza Choudhury', 'Kiernan Dewsbury-Hall', 'Jannik Vestergaard', 'Dennis Praet', 'Patson Daka', 'Boubakary Soumaré']","[[62, 'Boubakary Soumaré', 'James Maddison'], [62, 'Jannik Vestergaard', 'Ayoze Pérez'], [72, 'Kelechi Iheanacho', 'Harvey Barnes']]","['José Sá', 'Ki-Jana Hoever', 'Fernando Marçal', 'Rúben Neves', 'Raúl Jiménez', 'Francisco Trincão', 'Conor Coady', 'Max Kilman', 'Romain Saïss', 'João Moutinho', 'Adama Traoré']","['John Ruddy', 'Rayan Aït Nouri', 'Fábio Silva', 'Morgan Gibbs-White', 'Nélson Semedo', 'Leander Dendoncker', 'Luke Cundle', 'Christian Marques', 'Chem Campbell']","[[66, 'Leander Dendoncker', 'João Moutinho'], [86, 'Morgan Gibbs-White', 'Francisco Trincão'], [90, 'Fábio Silva', 'Max Kilman']]",[41],[],"[[62, 'Boubakary Soumaré', 'James Maddison'], [62, 'Jannik Vestergaard', 'Ayoze Pérez'], [72, 'Kelechi Iheanacho', 'Harvey Barnes']]","[[66, 'Leander Dendoncker', 'João Moutinho'], [86, 'Morgan Gibbs-White', 'Francisco Trincão'], [90, 'Fábio Silva', 'Max Kilman']]"
2021-2022,Burnley,Brighton & Hove Albion,1,2,"['Nick Pope', 'Matthew Lowton', 'Charlie Taylor', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Dwight McNeil', 'Ashley Westwood', 'Jay Rodriguez']","['Wayne Hennessey', 'Josh Brownhill', 'Ashley Barnes', 'Nathan Collins', 'Erik Pieters', 'Phil Bardsley', 'Matěj Vydra', 'Bobby Thomas', 'Lewis Richardson']","[[70, 'Ashley Barnes', 'Jay Rodriguez'], [79, 'Josh Brownhill', 'Dwight McNeil'], [85, 'Matěj Vydra', 'Jack Cork']]","['Robert Sánchez', 'Adam Webster', 'Lewis Dunk', 'Yves Bissouma', 'Neal Maupay', 'Leandro Trossard', 'Enock Mwepu', 'Pascal Groß', 'Steven Alzate', 'Solly March', 'Shane Duffy']","['Jason Steele', 'Michał Karbownik', 'Alexis Mac Allister', 'Adam Lallana', 'Jakub Moder', 'Andi Zeqiri', 'Florin Andone', 'Moisés Caicedo', 'Taylor Richards']","[[46, 'Adam Lallana', 'Enock Mwepu'], [72, 'Jakub Moder', 'Steven Alzate'], [76, 'Alexis Mac Allister', 'Leandro Trossard']]",[2],"[73, 78]","[[70, 'Ashley Barnes', 'Jay Rodriguez'], [79, 'Josh Brownhill', 'Dwight McNeil'], [85, 'Matěj Vydra', 'Jack Cork']]","[[46, 'Adam Lallana', 'Enock Mwepu'], [72, 'Jakub Moder', 'Steven Alzate'], [76, 'Alexis Mac Allister', 'Leandro Trossard']]"
2021-2022,Chelsea,Crystal Palace,3,0,"['Edouard Mendy', 'Antonio Rüdiger', 'Marcos Alonso', 'Andreas Christensen', 'Jorginho', 'Mateo Kovačić', 'Christian Pulisic', 'Timo Werner', 'Trevoh Chalobah', 'Mason Mount', 'César Azpilicueta']","['Kepa Arrizabalaga', 'Thiago Silva', 'Tammy Abraham', 'Kurt Zouma', 'Callum Hudson-Odoi', 'Ben Chilwell', 'Reece James', 'Kai Havertz', 'Emerson Palmieri']","[[67, 'Reece James', 'César Azpilicueta'], [82, 'Kai Havertz', 'Christian Pulisic'], [86, 'Emerson Palmieri', 'Marcos Alonso']]","['Vicente Guaita', 'Joel Ward', 'Tyrick Mitchell', 'Marc Guéhi', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Wilfried Zaha', 'Jean-Philippe Mateta', 'Jeffrey Schlupp', 'James McArthur', 'Jaïro Riedewald']","['Jack Butland', 'Joachim Andersen', 'Nathaniel Clyne', 'Christian Benteke', 'Martin Kelly', 'Scott Banks', 'Reece Hannam', 'Robert Street', 'Jesuran Rak Sakyi']","[[57, 'Christian Benteke', 'Jean-Philippe Mateta'], [57, 'Joachim Andersen', 'Jeffrey Schlupp'], [77, 'Jesuran Rak Sakyi', 'Jaïro Riedewald']]","[27, 40, 58]",[],"[[67, 'Reece James', 'César Azpilicueta'], [82, 'Kai Havertz', 'Christian Pulisic'], [86, 'Emerson Palmieri', 'Marcos Alonso']]","[[57, 'Christian Benteke', 'Jean-Philippe Mateta'], [57, 'Joachim Andersen', 'Jeffrey Schlupp'], [77, 'Jesuran Rak Sakyi', 'Jaïro Riedewald']]"
2021-2022,Watford,Aston Villa,3,2,"['Daniel Bachmann', 'Oghenekaro Etebo', 'William Troost-Ekong', 'Tom Cleverley', 'Adam Masina', 'Ken Sema', 'Craig Cathcart', 'Ismaila Sarr', 'Emmanuel Dennis', 'Christian Kabasele', 'Juraj Kucka']","['Ben Foster', 'Jeremy Ngakia', 'Danny Rose', 'Imran Louza', 'Troy Deeney', 'Dan Gosling', 'Ashley Fletcher', 'Cucho', 'Francisco Sierralta']","[[66, 'Cucho', 'Emmanuel Dennis'], [69, 'Dan Gosling', 'Juraj Kucka'], [79, 'Troy Deeney', 'Tom Cleverley']]","['Emiliano Martínez', 'Matty Cash', 'Matt Targett', 'Ezri Konsa', 'Tyrone Mings', 'John McGinn', 'Emi Buendía', 'Ashley Young', 'Marvelous Nakamba', 'Danny Ings', 'Anwar El Ghazi']","['Jed Steer', 'Wesley Moraes', 'Bertrand Traoré', 'Axel Tuanzebe', 'Kortney Hause', 'Leon Bailey', 'Jaden Philogene Bidace', 'Carney Chukwuemeka', 'Jacob Ramsey']","[[46, 'Jacob Ramsey', 'Matt Targett'], [60, 'Leon Bailey', 'Anwar El Ghazi'], [72, 'Bertrand Traoré', 'Emi Buendía']]","[10, 42, 67]",[70],"[[66, 'Cucho', 'Emmanuel Dennis'], [69, 'Dan Gosling', 'Juraj Kucka'], [79, 'Troy Deeney', 'Tom Cleverley']]","[[46, 'Jacob Ramsey', 'Matt Targett'], [60, 'Leon Bailey', 'Anwar El Ghazi'], [72, 'Bertrand Traoré', 'Emi Buendía']]"
2021-2022,Everton,Southampton,3,1,"['Jordan Pickford', 'Mason Holgate', 'Michael Keane', 'Allan', 'Richarlison', 'Dominic Calvert-Lewin', 'Demarai Gray', 'Lucas Digne', 'Andros Townsend', 'Abdoulaye Doucouré', 'Séamus Coleman']","['Asmir Begović', 'Jonjoe Kenny', 'Fabian Delph', 'Yerry Mina', 'Alex Iwobi', 'Anthony Gordon', 'Tom Davies', 'Jarrad Branthwaite', 'Nathan Broadhead']","[[70, 'Alex Iwobi', 'Andros Townsend'], [83, 'Yerry Mina', 'Demarai Gray'], [89, 'Anthony Gordon', 'Richarlison']]","['Alex McCarthy', 'Jack Stephens', 'Oriol Romeu', 'James Ward-Prowse', 'Adam Armstrong', 'Che Adams', 'Romain Perraud', 'Moussa Djenepo', 'Valentino Livramento', 'Mohammed Salisu', 'Theo Walcott']","['Fraser Forster', 'Kyle Walker-Peters', 'Nathan Redmond', 'Stuart Armstrong', 'Nathan Tella', 'Mohamed Elyounoussi', 'Ibrahima Diallo', 'Jan Bednarek', 'Yan Valery']","[[80, 'Ibrahima Diallo', 'Oriol Romeu'], [80, 'Nathan Tella', 'Theo Walcott'], [83, 'Nathan Redmond', 'Romain Perraud']]","[47, 76, 81]",[22],"[[70, 'Alex Iwobi', 'Andros Townsend'], [83, 'Yerry Mina', 'Demarai Gray'], [89, 'Anthony Gordon', 'Richarlison']]","[[80, 'Ibrahima Diallo', 'Oriol Romeu'], [80, 'Nathan Tella', 'Theo Walcott'], [83, 'Nathan Redmond', 'Romain Perraud']]"
2021-2022,Norwich City,Liverpool,0,3,"['Tim Krul', 'Max Aarons', 'Ben Gibson', 'Grant Hanley', 'Lukas Rupp', 'Billy Gilmour', 'Todd Cantwell', 'Milot Rashica', 'Pierre Lees-Melou', 'Teemu Pukki', 'Dimitris Giannoulis']","['Angus Gunn', 'Christoph Zimmermann', 'Kieran Dowell', 'Christos Tzolis', 'Jakob Sørensen', 'Kenny McLean', 'Josh Sargent', 'Bali Mumba', 'Adam Idah']","[[77, 'Adam Idah', 'Teemu Pukki'], [77, 'Josh Sargent', 'Milot Rashica'], [86, 'Kieran Dowell', 'Todd Cantwell']]","['Alisson', 'Virgil van Dijk', 'James Milner', 'Naby Keïta', 'Sadio Mané', 'Mohamed Salah', 'Alex Oxlade-Chamberlain', 'Diogo Jota', 'Kostas Tsimikas', 'Joël Matip', 'Trent Alexander-Arnold']","['Caoimhín Kelleher', 'Fabinho', 'Ibrahima Konaté', 'Roberto Firmino', 'Joe Gomez', 'Takumi Minamino', 'Divock Origi', 'Ben Woodburn', 'Harvey Elliott']","[[61, 'Roberto Firmino', 'Diogo Jota'], [61, 'Fabinho', 'Alex Oxlade-Chamberlain'], [83, 'Harvey Elliott', 'Naby Keïta']]",[],"[26, 65, 74]","[[77, 'Adam Idah', 'Teemu Pukki'], [77, 'Josh Sargent', 'Milot Rashica'], [86, 'Kieran Dowell', 'Todd Cantwell']]","[[61, 'Roberto Firmino', 'Diogo Jota'], [61, 'Fabinho', 'Alex Oxlade-Chamberlain'], [83, 'Harvey Elliott', 'Naby Keïta']]"
2021-2022,Newcastle United,West Ham United,2,4,"['Freddie Woodman', 'Ciaran Clark', 'Jonjo Shelvey', 'Callum Wilson', 'Allan Saint-Maximin', 'Matt Ritchie', 'Isaac Hayden', 'Emil Krafth', 'Federico Fernández', 'Jacob Murphy', 'Miguel Almirón']","['Mark Gillespie', 'Fabian Schär', 'Jamaal Lascelles', 'Joelinton', 'Jamal Lewis', 'Jeff Hendrick', 'Ryan Fraser', 'Dwight Gayle', 'Sean Longstaff']","[[70, 'Ryan Fraser', 'Jonjo Shelvey'], [84, 'Sean Longstaff', 'Emil Krafth'], [85, 'Joelinton', 'Callum Wilson']]","['Łukasz Fabiański', 'Aaron Cresswell', 'Vladimír Coufal', 'Pablo Fornals', 'Michail Antonio', 'Craig Dawson', 'Jarrod Bowen', 'Angelo Ogbonna', 'Saïd Benrahma', 'Tomáš Souček', 'Declan Rice']","['Alphonse Areola', 'Andriy Yarmolenko', 'Manuel Lanzini', 'Mark Noble', 'Issa Diop', 'Ryan Fredericks', 'Ben Johnson', 'Conor Coventry', 'Jamal Baptiste']","[[88, 'Ryan Fredericks', 'Saïd Benrahma'], [90, 'Andriy Yarmolenko', 'Jarrod Bowen'], [90, 'Ben Johnson', 'Michail Antonio']]","[5, 40]","[18, 53, 63, 66]","[[70, 'Ryan Fraser', 'Jonjo Shelvey'], [84, 'Sean Longstaff', 'Emil Krafth'], [85, 'Joelinton', 'Callum Wilson']]","[[88, 'Ryan Fredericks', 'Saïd Benrahma'], [90, 'Andriy Yarmolenko', 'Jarrod Bowen'], [90, 'Ben Johnson', 'Michail Antonio']]"
2021-2022,Tottenham Hotspur,Manchester City,1,0,"['Hugo Lloris', 'Sergio Reguilón', 'Pierre Højbjerg', 'Davinson Sánchez', 'Son Heung-min', 'Eric Dier', 'Dele Alli', 'Steven Bergwijn', 'Japhet Tanganga', 'Lucas Moura', 'Oliver Skipp']","['Pierluigi Gollini', 'Matt Doherty', 'Cristian Romero', 'Harry Winks', 'Bryan', 'Moussa Sissoko', 'Giovani Lo Celso', 'Ben Davies', 'Dane Scarlett']","[[77, 'Giovani Lo Celso', 'Steven Bergwijn'], [83, 'Matt Doherty', 'Japhet Tanganga'], [90, 'Cristian Romero', 'Pierre Højbjerg']]","['Ederson', 'Rúben Dias', 'Nathan Aké', 'Raheem Sterling', 'İlkay Gündoğan', 'Jack Grealish', 'Ferrán Torres', 'Benjamin Mendy', 'Fernandinho', 'Riyad Mahrez', 'João Cancelo']","['Zack Steffen', 'Kyle Walker', 'John Stones', 'Gabriel Jesus', 'Oleksandr Zinchenko', 'Aymeric Laporte', 'Rodri', 'Kevin De Bruyne', 'Bernardo Silva']","[[70, 'Gabriel Jesus', 'Raheem Sterling'], [79, 'Kevin De Bruyne', 'Riyad Mahrez'], [79, 'Oleksandr Zinchenko', 'Benjamin Mendy']]",[55],[],"[[77, 'Giovani Lo Celso', 'Steven Bergwijn'], [83, 'Matt Doherty', 'Japhet Tanganga'], [90, 'Cristian Romero', 'Pierre Højbjerg']]","[[70, 'Gabriel Jesus', 'Raheem Sterling'], [79, 'Kevin De Bruyne', 'Riyad Mahrez'], [79, 'Oleksandr Zinchenko', 'Benjamin Mendy']]"
