sofifa_id,player_url,short_name,long_name,age,nationality,club_name,league_name,player_positions,potential,weight_kg,foot,best_overall,best_position,growth,joined,loan_date_end,value,wage,release_clause,total_attacking,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,total_skill,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,total_movement,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,total_power,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,total_mentality,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,total_defending,defending_marking,defending_standing_tackle,defending_sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_positioning,gk_reflexes,total_stats,base_stats,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,international_reputation,pace_/_diving,shooting_/_handling,passing_/_kicking,dribbling_/_reflexes,defending_/_pace,physical_/_positioning
177358,/player/177358/morgan-schneiderlin/130034/,M. Schneiderlin,Morgan Schneiderlin,22,France,Southampton,[England] Premier Le,CDM,80,75kg / 165lbs,Right,76,CDM,4,"Jun 1, 2008",N/A,€5M,€30K,€0,311,55,64,60,82,50,316,61,54,54,74,73,344,74,70,64,70,66,364,71,69,88,76,60,349,82,83,60,68,56,,224,65,81,78,50,6,11,14,7,1958,425,3,2,Medium,High,1,72,63,70,66,74,80
6647,/player/6647/william-gallas/130034/,W. Gallas,William Gallas,34,France,Tottenham Hotspur,[England] Premier Le,CB,76,72kg / 159lbs,Right,76,CB,0,"Aug 1, 2010",N/A,€825K,€20K,€0,276,47,44,78,61,46,239,50,41,24,58,66,287,34,54,60,75,64,312,73,74,53,71,41,276,81,77,37,35,46,,238,75,81,82,48,9,8,5,13,1676,349,3,2,Medium,High,2,45,49,50,58,78,69
184484,/player/184484/gylfi-sigurdhsson/130034/,G. Sigurðsson,Gylfi Sigurðsson,22,Iceland,Tottenham Hotspur,[England] Premier Le,CAM,82,79kg / 174lbs,Right,76,CAM,6,"Jul 1, 2012",N/A,€8M,€40K,€0,359,72,76,59,79,73,383,70,81,86,70,76,346,68,72,68,76,62,377,85,70,73,67,82,324,56,36,75,78,79,,162,54,52,56,53,12,7,14,11,2004,415,3,3,Medium,Medium,2,70,79,77,72,51,66
134906,/player/134906/marouane-chamakh/130034/,M. Chamakh,Marouane Chamakh,28,Morocco,West Ham United,[England] Premier Le,ST,76,70kg / 154lbs,Right,76,ST,0,"Jan 1, 2010",N/A,€4M,€20K,€0,372,61,74,84,76,77,358,73,75,66,68,76,348,67,68,78,74,61,382,79,83,69,77,74,344,67,44,77,75,81,,132,43,52,37,56,10,11,13,8,1992,411,3,3,Medium,Low,2,68,76,71,74,49,73
163571,/player/163571/matt-jarvis/130034/,M. Jarvis,Matt Jarvis,26,England,West Ham United,[England] Premier Le,RW,78,73kg / 161lbs,Right,77,RW,2,"Aug 1, 2012",N/A,€4.2M,€20K,€0,341,86,67,54,73,61,355,78,81,56,68,72,420,89,87,79,72,93,320,71,62,76,42,69,318,59,55,68,71,65,,118,32,41,45,34,8,7,7,5,1906,405,5,3,High,Low,2,88,68,74,77,43,55
13130,/player/13130/wes-brown/130034/,W. Brown,Wes Brown,32,England,Sunderland,[England] Premier Le,CB,76,77kg / 170lbs,Right,76,CB,0,"Jul 1, 2011",N/A,€1.6M,€20K,€0,261,70,22,73,65,31,248,55,46,24,55,68,307,64,66,48,67,62,277,43,79,55,79,21,298,79,81,46,47,45,,232,82,77,73,60,14,12,8,11,1683,363,3,2,Medium,High,2,65,29,58,59,79,73
164769,/player/164769/steven-fletcher/130034/,S. Fletcher,Steven Fletcher,25,Scotland,Sunderland,[England] Premier Le,ST,78,76kg / 168lbs,Left,76,ST,2,"Aug 1, 2012",N/A,€4.8M,€30K,€0,351,54,81,85,66,65,266,69,35,30,56,76,372,73,75,77,77,70,379,76,80,78,79,66,304,55,35,76,68,70,,56,22,21,13,56,12,9,15,8,1784,384,3,2,Medium,Low,2,74,75,59,72,30,74
169607,/player/169607/lee-cattermole/130034/,L. Cattermole,Lee Cattermole,24,England,Sunderland,[England] Premier Le,CB,76,76kg / 168lbs,Right,77,CB,0,"Aug 1, 2009",N/A,€2.5M,€20K,€0,317,60,55,66,76,60,325,65,56,57,73,74,353,74,69,64,75,71,360,76,63,79,78,64,350,89,76,61,61,63,,239,76,82,81,59,10,8,13,14,2003,425,3,2,Low,High,2,71,62,67,68,77,80
45842,/player/45842/jonas-olsson/130034/,J. Olsson,Jonas Olsson,29,Sweden,West Bromwich Albion,[England] Premier Le,CB,76,84kg / 185lbs,Left,76,CB,0,"Aug 1, 2008",N/A,€2.5M,€20K,€0,318,59,55,82,73,49,292,46,58,59,66,63,281,54,55,50,80,42,325,60,67,60,82,56,315,81,81,49,54,50,,222,74,76,72,57,8,11,13,10,1810,380,3,2,Medium,Medium,2,55,55,64,53,77,76
111206,/player/111206/sascha-riether/130034/,S. Riether,Sascha Riether,29,Germany,Fulham,[England] Premier Le,RWB,76,71kg / 157lbs,Right,77,RWB,0,"Jul 1, 2011",N/A,€2.5M,€20K,€0,324,77,52,69,76,50,325,73,56,44,78,74,396,83,81,81,75,76,354,70,83,84,59,58,332,75,76,58,66,57,,229,73,77,79,52,8,11,15,7,2012,430,3,3,High,Medium,2,82,57,72,74,75,70
