sofifa_id,player_url,short_name,long_name,age,nationality,club_name,league_name,player_positions,potential,weight_kg,foot,best_overall,best_position,growth,joined,loan_date_end,value,wage,release_clause,total_attacking,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,total_skill,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,total_movement,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,total_power,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,total_mentality,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,total_defending,defending_marking,defending_standing_tackle,defending_sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_positioning,gk_reflexes,total_stats,base_stats,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,international_reputation,pace_/_diving,shooting_/_handling,passing_/_kicking,dribbling_/_reflexes,defending_/_pace,physical_/_positioning
41236,/player/41236/zlatan-ibrahimovic/170099/,Z. Ibrahimović,Zlatan Ibrahimović,34,Sweden,Manchester United,[England] Premier Le,ST,90,95kg / 209lbs,Right,86,ST,0,"Jul 1, 2016",,€36.5M,€300K,€0,423,76,90,80,84,93,415,85,82,82,76,90,352,68,72,86,85,41,421,93,72,75,93,88,364,84,20,86,83,91,91,83,15,41,27,59,13,15,9,12,2117,443,4,4,Medium,Low,5,70,90,81,84,32,86
193080,/player/193080/david-de-gea-quintana/170099/,De Gea,David De Gea Quintana,25,Spain,Manchester United,[England] Premier Le,GK,92,82kg / 181lbs,Right,87,GK,2,"Jul 1, 2011",,€68.5M,€190K,€0,103,17,13,21,39,13,127,18,21,19,38,31,306,57,58,60,88,43,214,31,67,40,64,12,188,38,30,12,68,40,64,47,13,21,13,436,88,85,86,90,1421,494,3,1,Medium,Medium,4,88,85,87,90,58,86
176635,/player/176635/mesut-ozil/170099/,M. Özil,Mesut Özil,27,Germany,Arsenal,[England] Premier Le,CAM,89,76kg / 168lbs,Left,86,CAM,0,"Sep 2, 2013",,€62M,€250K,€0,377,82,75,54,89,77,423,86,84,79,84,90,386,77,68,84,87,70,323,70,52,69,56,76,316,48,24,84,93,67,73,57,22,16,19,50,6,14,6,14,1932,400,2,4,Medium,Low,4,72,74,87,86,24,57
183277,/player/183277/eden-hazard/170099/,E. Hazard,Eden Hazard,25,Belgium,Chelsea,[England] Premier Le,CAM,90,74kg / 163lbs,Right,87,CAM,1,"Jul 1, 2012",,€71.5M,€300K,€0,381,80,81,57,84,79,425,93,82,79,80,91,447,93,87,92,85,90,362,79,59,77,65,82,352,54,41,85,86,86,86,74,25,27,22,45,11,12,8,8,2086,444,4,4,High,Medium,4,90,81,83,92,32,66
192119,/player/192119/thibaut-courtois/170099/,T. Courtois,Thibaut Courtois,24,Belgium,Chelsea,[England] Premier Le,GK,92,91kg / 201lbs,Left,86,GK,3,"Jul 26, 2011",,€65.5M,€170K,€0,85,14,14,13,32,12,97,13,19,11,31,23,285,46,52,61,81,45,229,36,68,38,70,17,122,23,15,13,44,27,52,45,11,18,16,419,84,91,86,89,1282,468,3,1,Medium,Medium,4,84,91,69,89,49,86
153079,/player/153079/sergio-aguero/170099/,S. Agüero,Sergio Agüero,28,Argentina,Manchester City,[England] Premier Le,CF,89,70kg / 154lbs,Right,87,CF,0,"Jul 28, 2011",,€61.5M,€325K,€0,392,70,90,68,79,85,395,89,82,72,63,89,442,92,86,86,88,90,398,87,80,74,73,84,335,57,24,91,83,80,90,45,13,20,12,59,13,15,11,14,2066,434,4,4,High,Medium,4,89,88,75,89,23,70
48940,/player/48940/petr-cech/170099/,P. Čech,Petr Čech,34,Czech Republic,Arsenal,[England] Premier Le,GK,88,90kg / 198lbs,Left,85,GK,0,"Jun 29, 2015",,€34M,€190K,€0,102,19,12,19,35,17,99,12,13,19,33,22,253,40,44,49,86,34,180,21,51,32,65,11,129,17,23,13,53,23,70,36,11,13,12,419,83,90,84,85,1218,461,3,1,Medium,Medium,4,83,90,77,85,42,84
184941,/player/184941/alexis-sanchez/170099/,A. Sánchez,Alexis Sánchez,27,Chile,Arsenal,[England] Premier Le,ST,88,62kg / 137lbs,Right,85,ST,0,"Jul 10, 2014",,€55M,€275K,€0,398,80,85,70,80,83,404,89,78,78,73,86,436,88,84,90,87,87,407,84,85,85,72,81,367,80,42,86,82,77,82,104,30,39,35,60,10,10,12,13,2176,455,3,4,High,High,4,86,84,79,88,40,78
192985,/player/192985/kevin-de-bruyne/170099/,K. De Bruyne,Kevin De Bruyne,25,Belgium,Manchester City,[England] Premier Le,CAM,91,68kg / 150lbs,Right,85,CAM,3,"Aug 30, 2015",,€65.5M,€275K,€0,397,90,83,53,89,82,418,85,81,84,82,86,395,76,78,78,88,75,394,85,65,85,73,86,369,68,52,84,88,77,84,109,30,39,40,56,15,13,10,13,2138,447,4,4,High,High,4,77,84,87,84,40,75
195864,/player/195864/paul-pogba/170099/,P. Pogba,Paul Pogba,23,France,Manchester United,[England] Premier Le,CAM,94,84kg / 185lbs,Right,85,CAM,6,"Aug 9, 2016",,€71.5M,€225K,€0,391,78,71,73,85,84,433,89,84,82,88,90,380,75,79,79,86,61,444,90,85,91,91,87,389,72,70,84,87,76,83,214,68,73,73,20,5,6,4,3,2271,486,4,5,High,Medium,4,77,80,84,87,71,87
