Player Name
David de Gea
Victor Lindelöf
Cristiano Ronaldo
Bruno Fernandes
Raphaël Varane
Diogo Dalot
Alex Telles
Nemanja Matić
Anthony Elanga
Scott McTominay
Marcus Rashford
Fred
Edinson Cavani
Álvaro Fernández
Hugo Lloris
Pierre Højbjerg
Davinson Sánchez
Son Heung-min
Harry Kane
Emerson
Eric Dier
Ryan Sessegnon
Lucas Moura
Rodrigo Bentancur
Ben Davies
Harry Winks
Dejan Kulusevski
Steven Bergwijn
Illan Meslier
Junior Firpo
Robin Koch
Liam Cooper
Raphinha
Diego Llorente
Rodrigo
Jack Harrison
Kalvin Phillips
Joe Gelhardt
Mateusz Klich
Pascal Struijk
Jamie Shackleton
Ben Foster
Jeremy Ngakia
João Pedro
Adam Masina
Ken Sema
Craig Cathcart
Moussa Sissoko
Christian Kabasele
Edo Kayembe
Daniel Bachmann
William Troost-Ekong
Hassane Kamara
Rayan Aït Nouri
Pedro Neto
Rúben Neves
Raúl Jiménez
Willy Boly
Conor Coady
Jonny Castro
Hwang Hee-chan
João Moutinho
José Sá
Fernando Marçal
Daniel Podence
Francisco Trincão
Fábio Silva
Leander Dendoncker
Łukasz Fabiański
Aaron Cresswell
Kurt Zouma
Vladimír Coufal
Pablo Fornals
Michail Antonio
Manuel Lanzini
Craig Dawson
Jarrod Bowen
Tomáš Souček
Declan Rice
Nikola Vlašić
Arthur Masuaku
Ben Johnson
Martin Dúbravka
Fabian Schär
Joelinton
Callum Wilson
Allan Saint-Maximin
Matt Targett
Emil Krafth
Miguel Almirón
Dan Burn
Sean Longstaff
Bruno Guimarães
Karl Darlow
Jamaal Lascelles
Matt Ritchie
Federico Fernández
Ryan Fraser
Jacob Murphy
Alex McCarthy
Kyle Walker-Peters
Lyanco
Jack Stephens
James Ward-Prowse
Nathan Redmond
Armando Broja
Mohammed Salisu
Nathan Tella
Mohamed Elyounoussi
Ibrahima Diallo
Oriol Romeu
Adam Armstrong
Che Adams
Stuart Armstrong
Jan Bednarek
Jordan Pickford
Mason Holgate
Michael Keane
Richarlison
Dominic Calvert-Lewin
Abdoulaye Doucouré
Alex Iwobi
Vitaliy Mykolenko
André Gomes
Séamus Coleman
Anthony Gordon
Jonjoe Kenny
Allan
Demarai Gray
Ben Godfrey
Donny van de Beek
Dele Alli
Emiliano Martínez
Matty Cash
Tyrone Mings
Douglas Luiz
John McGinn
Emi Buendía
Ollie Watkins
Calum Chambers
Lucas Digne
Jacob Ramsey
Ashley Young
Marvelous Nakamba
Danny Ings
Philippe Coutinho
David Raya
Rico Henry
Mathias Jensen
Yoane Wissa
Ivan Toney
Pontus Jansson
Bryan Mbeumo
Kristoffer Ajer
Christian Eriksen
Vitaly Janelt
Mads Bech Sørensen
Sergi Canós
Frank Onyeka
Shandon Baptiste
Mads Roerslev
Kasper Schmeichel
James Justin
Wesley Fofana
Jonny Evans
Harvey Barnes
Youri Tielemans
Jamie Vardy
James Maddison
Kiernan Dewsbury-Hall
Nampalys Mendy
Timothy Castagne
Çağlar Söyüncü
Marc Albrighton
Kelechi Iheanacho
Ayoze Pérez
Daniel Amartey
Ricardo Pereira
Patson Daka
Ademola Lookman
Vicente Guaita
Joel Ward
Tyrick Mitchell
Wilfried Zaha
Will Hughes
Jeffrey Schlupp
Joachim Andersen
Nathaniel Clyne
Odsonne Édouard
Conor Gallagher
Jack Butland
Luka Milivojević
Cheikhou Kouyaté
Jordan Ayew
Eberechi Eze
Jean-Philippe Mateta
James McArthur
Christian Benteke
Aaron Ramsdale
Gabriel Dos Santos
Bukayo Saka
Martin Ødegaard
Rob Holding
Cédric Soares
Nuno Tavares
Mohamed Elneny
Eddie Nketiah
Granit Xhaka
Martinelli
Ben White
Alexandre Lacazette
Emile Smith Rowe
Nicolas Pépé
Albert Sambi Lokonga
Robert Sánchez
Marc Cucurella
Adam Webster
Lewis Dunk
Yves Bissouma
Alexis Mac Allister
Pascal Groß
Danny Welbeck
Solly March
Moisés Caicedo
Joël Veltman
Tariq Lamptey
Neal Maupay
Enock Mwepu
Adam Lallana
Shane Duffy
Tim Krul
Max Aarons
Sam Byram
Grant Hanley
Kieran Dowell
Mathias Normann
Milot Rashica
Jakob Sørensen
Pierre Lees-Melou
Teemu Pukki
Dimitris Giannoulis
Angus Gunn
Lukas Rupp
Przemysław Płacheta
Ederson
John Stones
Gabriel Jesus
Aymeric Laporte
Rodri
Kevin De Bruyne
Bernardo Silva
Fernandinho
Riyad Mahrez
João Cancelo
Phil Foden
Kyle Walker
Nathan Aké
Raheem Sterling
İlkay Gündoğan
Jack Grealish
Oleksandr Zinchenko
Alisson
Ibrahima Konaté
Thiago Alcántara
Naby Keïta
Sadio Mané
Jordan Henderson
Diogo Jota
Luis Díaz
Andrew Robertson
Joël Matip
Trent Alexander-Arnold
Virgil van Dijk
James Milner
Roberto Firmino
Mohamed Salah
Curtis Jones
Kostas Tsimikas
Nick Pope
Charlie Taylor
Jack Cork
James Tarkowski
Josh Brownhill
Ashley Barnes
Dwight McNeil
Connor Roberts
Maxwel Cornet
Nathan Collins
Wout Weghorst
Aaron Lennon
Edouard Mendy
Antonio Rüdiger
Thiago Silva
N'Golo Kanté
Saúl Ñíguez
Mason Mount
Hakim Ziyech
Reece James
César Azpilicueta
Kai Havertz
Jorginho
Romelu Lukaku
Christian Pulisic
Ruben Loftus-Cheek
Trevoh Chalobah
Ben Chilwell
Malang Sarr
Paul Pogba
Mason Greenwood
Luke Shaw
Aaron Wan-Bissaka
Dean Henderson
Eric Bailly
Juan Mata
Jannik Vestergaard
Moussa Djenepo
Theo Walcott
Fraser Forster
Takumi Minamino
Jakub Moder
Alireza Jahanbakhsh
Steven Alzate
Aaron Connolly
Leandro Trossard
Timo Werner
Kepa Arrizabalaga
Marcos Alonso
Tammy Abraham
Mateo Kovačić
Olivier Giroud
Callum Hudson-Odoi
Paul Dummett
Jonjo Shelvey
Joe Willock
Ciaran Clark
Dwight Gayle
Jamal Lewis
Jeff Hendrick
Javier Manquillo
Sergio Reguilón
Toby Alderweireld
Japhet Tanganga
Matt Doherty
Gareth Bale
Érik Lamela
Giovani Lo Celso
Serge Aurier
Tanguy Ndombele
Gylfi Sigurðsson
Yerry Mina
Robin Olsen
Tom Davies
James Tomkins
Andros Townsend
James McCarthy
Gary Cahill
Patrick van Aanholt
Michy Batshuayi
Jaïro Riedewald
Matthew Lowton
Ben Mee
Jóhann Berg Guðmundsson
Chris Wood
Ashley Westwood
Jay Rodriguez
Erik Pieters
Matěj Vydra
Sam Johnstone
Darnell Furlong
Hal Robson-Kanu
Kyle Bartley
Semi Ajayi
Matt Phillips
Matheus Pereira
Conor Townsend
Ainsley Maitland-Niles
Okay Yokuşlu
Callum Robinson
Grady Diangana
Mbaye Diagne
Dara O'Shea
Karlan Grant
Ezri Konsa
Bertrand Traoré
Anwar El Ghazi
Kortney Hause
Ahmed Elmohamady
Wilfred Ndidi
Luke Thomas
Dennis Praet
Christian Fuchs
Rúben Dias
Sergio Agüero
Ferrán Torres
Benjamin Mendy
George Baldock
Enda Stevens
John Fleck
Chris Basham
John Egan
Oliver Norwood
David McGoldrick
Jack Robinson
Ben Osborn
John Lundstram
Max Lowe
Phil Jagielka
Jayden Bogle
Rhian Brewster
Kean Bryan
Rui Patrício
Nélson Semedo
Romain Saïss
Adama Traoré
Ki-Jana Hoever
Willian José
Vitinha
Max Kilman
Jesse Lingard
Angelo Ogbonna
Fabián Balbuena
Saïd Benrahma
Mark Noble
Issa Diop
Ryan Fredericks
Luke Ayling
Ezgjan Alioski
Stuart Dallas
Patrick Bamford
Tyler Roberts
Bernd Leno
Kieran Tierney
Pierre-Emerick Aubameyang
Thomas Partey
Dani Ceballos
Pablo Marí
Fabinho
Georginio Wijnaldum
Rhys Williams
Nathaniel Phillips
Xherdan Shaqiri
Kenny Tete
Tim Ream
Bobby Reid
Tosin Adarabioyo
Ivan Cavaleiro
Joe Bryan
Andre-Frank Zambo Anguissa
Alphonse Areola
Mario Lemina
Josh Maja
Ola Aina
Onel Hernández
Todd Cantwell
Timm Klose
Josip Drmić
Kenny McLean
Alexander Tettey
Christoph Zimmermann
Mario Vrančić
Marco Stiepermann
Steve Cook
Joshua King
Jefferson Lerma
Jack Stacey
Junior Stanislas
David Brooks
Diego Rico
Lloyd Kelly
Philip Billing
Dan Gosling
Dominic Solanke
Arnaut Danjuma
Lewis Cook
Harry Wilson
Paulo Gazzaniga
Jan Vertonghen
Mathew Ryan
Dale Stephens
Aaron Mooy
Glenn Murray
Martín Montoya
Davy Pröpper
Jack O'Connell
Oliver McBurnie
Sander Berge
Billy Sharp
Rúben Vinagre
Adrian Mariappa
Tom Cleverley
Troy Deeney
Kiko Femenía
Ismaila Sarr
Roberto Pereyra
Nathaniel Chalobah
Andre Gray
Pepe Reina
Conor Hourihane
Trézéguet
Mbwana Samatta
Ørjan Nyland
Frederic Guilbert
Keinan Davis
Harry Maguire
Anthony Martial
Brandon Williams
Daniel James
Joe Gomez
Adrián
Dejan Lovren
Alex Oxlade-Chamberlain
Divock Origi
Moise Kean
Djibril Sidibé
Bernard
Hamza Choudhury
Ryan Bennett
Ryan Bertrand
Shane Long
Michael Obafemi
Yan Valery
David Luiz
Sokratis Papastathopoulos
Lucas Torreira
Reiss Nelson
Sead Kolašinac
Scott Dann
Max Meyer
Martin Kelly
David Silva
Eric García
Nicolás Otamendi
Andreas Christensen
Ross Barkley
Pedro
Fikayo Tomori
Emerson Palmieri
Andriy Yarmolenko
Felipe Anderson
Sébastien Haller
Valentino Lazaro
Danny Rose
Nabil Bentaleb
Andy Carroll
Isaac Hayden
DeAndre Yedlin
Phil Bardsley
Kevin Long
Idrissa Gana Gueye
Morgan Schneiderlin
Cenk Tosun
Jordon Ibe
Adam Smith
Artur Boruc
Chris Mepham
Hélder Costa
Morgan Gibbs-White
Marko Arnautović
Pedro Obiang
Pablo Zabaleta
Javier Hernández
Lucas Pérez
Neil Etheridge
Lee Peltier
Joe Bennett
Sean Morrison
Bruno Ecuele Manga
Josh Murphy
Aron Gunnarsson
Nathaniel Mendez-Laing
Víctor Camarasa
Kenneth Zohore
Leandro Bacuna
Greg Cunningham
Junior Hoilett
Ki Sung-yueng
Salomón Rondón
Christian Atsu
Mohamed Diamé
Yoshinori Mutō
Kenedy
Jonas Lössl
Terence Kongolo
Jonathan Hogg
Juninho Bacuna
Chris Löwe
Isaac Mbenza
Alex Pritchard
Christopher Schindler
Erik Durm
Tommy Smith
Elias Kachunga
Adama Diakhaby
Steve Mounié
Jon Gorenc Stanković
Gonzalo Higuaín
Eden Hazard
Willian
Henrikh Mkhitaryan
Mesut Özil
Stephan Lichtsteiner
Nacho Monreal
Shkodran Mustafi
Petr Čech
Laurent Koscielny
Mattéo Guendouzi
Vincent Kompany
Danilo
Leroy Sané
Charlie Austin
Bruno
Beram Kayal
Anthony Knockaert
Bernardo
Gaëtan Bong
Jürgen Locadia
Florin Andone
Wes Morgan
Wayne Hennessey
Tom Heaton
Joe Hart
Robbie Brady
