,Season,Name,Age,Age_Squared,Min,Height,Position,Aerial_duels_per90,Assists_per90,Goals_per90,League,Squad
0,2017-2018,Dominic Solanke,19,361,596.0,187cm, FW,3.181818181818182,0.15,0.15,1. Premier League,Liverpool
1,2018-2019,Dominic Solanke,20,400,347.0,187cm, FW,3.8461538461538463,0.26,0.0,1. Premier League,Bournemouth
2,2019-2020,Dominic Solanke,21,441,1651.0,187cm, FW,3.442622950819672,0.05,0.16,1. Premier League,Bournemouth
3,2022-2023,Dominic Solanke,24,576,2234.0,187cm, FW,1.7338709677419355,0.24,0.2,1. Premier League,Bournemouth
0,2020-2021,Jacob Ramsey,19,361,626.0,180cm, MF (WM),1.0,0.0,0.0,1. Premier League,Aston Villa
1,2021-2022,Jacob Ramsey,20,400,2467.0,180cm, MF (WM),0.5839416058394161,0.04,0.22,1. Premier League,Aston Villa
2,2022-2023,Jacob Ramsey,21,441,2020.0,180cm, MF (WM),0.625,0.22,0.18,1. Premier League,Aston Villa
0,2017-2018,Nicolás Otamendi,29,841,2967.0,183cm, DF (CB),2.303030303030303,0.0,0.12,1. Premier League,Manchester City
1,2018-2019,Nicolás Otamendi,30,900,1236.0,183cm, DF (CB),2.9927007299270074,0.0,0.0,1. Premier League,Manchester City
2,2019-2020,Nicolás Otamendi,31,961,1715.0,183cm, DF (CB),3.1937172774869107,0.0,0.1,1. Premier League,Manchester City
3,2020-2021,Nicolás Otamendi,32,1024,0.0,183cm, DF (CB),2.925925925925926,0.0,0.0,1. Premier League,Manchester City
0,2017-2018,Jordan Ayew,25,625,2852.0,182cm, FW-MF,1.5772870662460567,0.06,0.22,1. Premier League,Swansea City
1,2018-2019,Jordan Ayew,26,676,1181.0,182cm, FW-MF,2.4427480916030535,0.15,0.08,1. Premier League,Crystal Palace
2,2019-2020,Jordan Ayew,27,729,3148.0,182cm, FW-MF,2.2,0.06,0.26,1. Premier League,Crystal Palace
3,2020-2021,Jordan Ayew,28,784,2096.0,182cm, FW-MF,1.2446351931330473,0.13,0.04,1. Premier League,Crystal Palace
4,2021-2022,Jordan Ayew,29,841,2019.0,182cm, FW-MF,1.4285714285714286,0.13,0.13,1. Premier League,Crystal Palace
5,2022-2023,Jordan Ayew,30,900,2091.0,182cm, FW-MF,1.8103448275862069,0.09,0.13,1. Premier League,Crystal Palace
0,2021-2022,Cristiano Ronaldo,36,1296,2456.0,187cm, FW-MF (WM),1.5384615384615383,0.11,0.66,1. Premier League,Manchester Utd
1,2022-2023,Cristiano Ronaldo,37,1369,525.0,187cm, FW-MF (WM),2.586206896551724,0.0,0.17,1. Premier League,Manchester Utd
0,2020-2021,Dara O'Shea,21,441,2102.0,183cm, DF (CB),2.9914529914529915,0.0,0.0,1. Premier League,West Brom
0,2021-2022,Enock Mwepu,23,529,996.0,184cm," MF (CM, right)",0.8108108108108109,0.36,0.18,1. Premier League,Brighton
1,2022-2023,Enock Mwepu,24,576,213.0,184cm," MF (CM, right)",0.0,0.42,0.0,1. Premier League,Brighton
0,2017-2018,Jesse Lingard,24,576,1817.0,174cm, FW-MF (AM),0.24752475247524752,0.25,0.4,1. Premier League,Manchester Utd
1,2018-2019,Jesse Lingard,25,625,1663.0,174cm, FW-MF (AM),0.2702702702702703,0.11,0.22,1. Premier League,Manchester Utd
2,2019-2020,Jesse Lingard,26,676,935.0,174cm, FW-MF (AM),0.1923076923076923,0.0,0.1,1. Premier League,Manchester Utd
3,2020-2021,Jesse Lingard,27,729,1421.0,174cm, FW-MF (AM),0.0,0.25,0.57,1. Premier League,Manchester Utd
4,2021-2022,Jesse Lingard,28,784,367.0,174cm, FW-MF (AM),0.0,0.0,0.49,1. Premier League,Manchester Utd
5,2022-2023,Jesse Lingard,29,841,923.0,174cm, FW-MF (AM),0.0970873786407767,0.0,0.0,1. Premier League,Nott'ham Forest
0,2018-2019,Diogo Dalot,19,361,1013.0,184cm," DF (FB, right)",1.9469026548672566,0.18,0.0,1. Premier League,Manchester Utd
1,2019-2020,Diogo Dalot,20,400,67.0,184cm," DF (FB, right)",4.285714285714286,0.0,0.0,1. Premier League,Manchester Utd
2,2021-2022,Diogo Dalot,22,484,1801.0,184cm," DF (FB, right)",1.45,0.0,0.0,1. Premier League,Manchester Utd
3,2022-2023,Diogo Dalot,23,529,1790.0,184cm," DF (FB, right)",1.8090452261306533,0.1,0.05,1. Premier League,Manchester Utd
0,2017-2018,Ashley Young,32,1024,2442.0,175cm," DF-FW-MF (FB-WM, left)",0.7011070110701106,0.15,0.07,1. Premier League,Manchester Utd
1,2018-2019,Ashley Young,33,1089,2569.0,175cm," DF-FW-MF (FB-WM, left)",0.7017543859649122,0.07,0.07,1. Premier League,Manchester Utd
2,2019-2020,Ashley Young,34,1156,955.0,175cm," DF-FW-MF (FB-WM, left)",1.8324757004002286,0.0,0.0,1. Premier League,Manchester Utd
3,2021-2022,Ashley Young,36,1296,1250.0,175cm," DF-FW-MF (FB-WM, left)",0.4316546762589928,0.14,0.0,1. Premier League,Aston Villa
4,2022-2023,Ashley Young,37,1369,1632.0,175cm," DF-FW-MF (FB-WM, left)",0.6077348066298343,0.0,0.06,1. Premier League,Aston Villa
0,2019-2020,Allan Saint-Maximin,22,484,1863.0,173cm, FW-MF (WM),0.3864734299516908,0.19,0.14,1. Premier League,Newcastle Utd
1,2020-2021,Allan Saint-Maximin,23,529,1560.0,173cm, FW-MF (WM),0.3468208092485549,0.23,0.17,1. Premier League,Newcastle Utd
2,2021-2022,Allan Saint-Maximin,24,576,2804.0,173cm, FW-MF (WM),0.576923076923077,0.16,0.16,1. Premier League,Newcastle Utd
3,2022-2023,Allan Saint-Maximin,25,625,997.0,173cm, FW-MF (WM),0.0900900900900901,0.45,0.09,1. Premier League,Newcastle Utd
0,2018-2019,Mason Greenwood,16,256,117.0,181cm, FW-MF (AM),0.0,0.0,0.0,1. Premier League,Manchester Utd
1,2019-2020,Mason Greenwood,17,289,1320.0,181cm, FW-MF (AM),0.3401360544217687,0.07,0.68,1. Premier League,Manchester Utd
2,2020-2021,Mason Greenwood,18,324,1822.0,181cm, FW-MF (AM),0.297029702970297,0.1,0.35,1. Premier League,Manchester Utd
3,2021-2022,Mason Greenwood,19,361,1271.0,181cm, FW-MF (AM),0.28368794326241137,0.07,0.35,1. Premier League,Manchester Utd
0,2020-2021,Timothy Castagne,24,576,2345.0,180cm," DF-MF (DM-FB, right)",1.532567049808429,0.12,0.08,1. Premier League,Leicester City
1,2021-2022,Timothy Castagne,25,625,2127.0,180cm," DF-MF (DM-FB, right)",1.6525423728813557,0.0,0.04,1. Premier League,Leicester City
2,2022-2023,Timothy Castagne,26,676,2625.0,180cm," DF-MF (DM-FB, right)",1.4383561643835616,0.1,0.03,1. Premier League,Leicester City
0,2017-2018,Oleksandr Zinchenko,20,400,532.0,175cm," DF-MF (FB, left)",2.711864406779661,0.0,0.0,1. Premier League,Manchester City
1,2018-2019,Oleksandr Zinchenko,21,441,1151.0,175cm," DF-MF (FB, left)",1.875,0.23,0.0,1. Premier League,Manchester City
2,2019-2020,Oleksandr Zinchenko,22,484,1276.0,175cm," DF-MF (FB, left)",1.8309859154929577,0.0,0.0,1. Premier League,Manchester City
3,2020-2021,Oleksandr Zinchenko,23,529,1478.0,175cm," DF-MF (FB, left)",1.7682926829268295,0.0,0.0,1. Premier League,Manchester City
4,2021-2022,Oleksandr Zinchenko,24,576,1047.0,175cm," DF-MF (FB, left)",1.293103448275862,0.34,0.0,1. Premier League,Manchester City
5,2022-2023,Oleksandr Zinchenko,25,625,1825.0,175cm," DF-MF (FB, left)",2.0689655172413794,0.1,0.05,1. Premier League,Arsenal
0,2017-2018,Ayoze Pérez,24,576,2492.0,179cm, FW-MF (AM-WM),1.552346570397112,0.18,0.29,1. Premier League,Newcastle Utd
1,2018-2019,Ayoze Pérez,25,625,2917.0,179cm, FW-MF (AM-WM),0.8024691358024691,0.06,0.37,1. Premier League,Newcastle Utd
