,Season,Name,Age,Age_Squared,Min,Height,Position,Aerial_duels_per90,Assists_per90,Goals_per90,League,Squad
0,2019-2020,Enda Stevens,29,841,3345.0,183cm," DF-MF (DM-FB-WM, left)",0.8333333333333333,0.11,0.05,1. Premier League,Sheffield Utd
1,2020-2021,Enda Stevens,30,900,2700.0,183cm," DF-MF (DM-FB-WM, left)",1.1666666666666667,0.03,0.0,1. Premier League,Sheffield Utd
0,2017-2018,Joe Allen,27,729,3139.0,168cm, MF (CM-DM-WM),1.0315186246418337,0.17,0.06,1. Premier League,Stoke City
0,2019-2020,Daniel Podence,23,529,289.0,165cm, FW-MF (AM-WM),0.0,0.0,0.31,1. Premier League,Wolves
1,2020-2021,Daniel Podence,24,576,1661.0,165cm, FW-MF (AM-WM),0.3783783783783784,0.11,0.16,1. Premier League,Wolves
2,2021-2022,Daniel Podence,25,625,1484.0,165cm, FW-MF (AM-WM),0.12121212121212122,0.18,0.12,1. Premier League,Wolves
3,2022-2023,Daniel Podence,26,676,1616.0,165cm, FW-MF (AM-WM),0.3333333333333333,0.0,0.33,1. Premier League,Wolves
0,2017-2018,Alex McCarthy,27,729,1620.0,193cm, GK,0.5555555555555556,0.0,0.0,1. Premier League,Southampton
1,2018-2019,Alex McCarthy,28,784,2250.0,193cm, GK,0.64,0.0,0.0,1. Premier League,Southampton
2,2019-2020,Alex McCarthy,29,841,2520.0,193cm, GK,0.5714285714285714,0.0,0.0,1. Premier League,Southampton
3,2020-2021,Alex McCarthy,30,900,2700.0,193cm, GK,0.13333333333333333,0.0,0.0,1. Premier League,Southampton
4,2021-2022,Alex McCarthy,31,961,1530.0,193cm, GK,0.35294117647058826,0.0,0.0,1. Premier League,Southampton
0,2020-2021,Alphonse Areola,27,729,3240.0,192cm, GK,0.3611111111111111,0.0,0.0,1. Premier League,Fulham
1,2021-2022,Alphonse Areola,28,784,90.0,192cm, GK,0.0,0.0,0.0,1. Premier League,West Ham
2,2022-2023,Alphonse Areola,29,841,309.0,192cm, GK,0.0,0.0,0.0,1. Premier League,West Ham
0,2020-2021,Patrick Bamford,26,676,3050.0,188cm, FW-MF (WM),1.3864306784660767,0.21,0.5,1. Premier League,Leeds United
1,2021-2022,Patrick Bamford,27,729,559.0,188cm, FW-MF (WM),0.8064516129032258,0.32,0.32,1. Premier League,Leeds United
2,2022-2023,Patrick Bamford,28,784,1129.0,188cm, FW-MF (WM),1.84,0.16,0.24,1. Premier League,Leeds United
0,2017-2018,Cédric Soares,25,625,2794.0,169cm," DF-MF (FB, right)",0.967741935483871,0.1,0.0,1. Premier League,Southampton
1,2018-2019,Cédric Soares,26,676,1495.0,169cm," DF-MF (FB, right)",2.704611549646863,0.12,0.06,1. Premier League,Southampton
2,2019-2020,Cédric Soares,27,729,1555.0,169cm," DF-MF (FB, right)",1.9556650246305418,0.07,0.36,1. Premier League,Arsenal
3,2020-2021,Cédric Soares,28,784,746.0,169cm," DF-MF (FB, right)",0.8433734939759036,0.12,0.0,1. Premier League,Arsenal
4,2021-2022,Cédric Soares,29,841,1486.0,169cm," DF-MF (FB, right)",0.7272727272727273,0.06,0.06,1. Premier League,Arsenal
5,2022-2023,Cédric Soares,30,900,114.0,169cm," DF-MF (FB, right)",2.2222222222222223,0.0,0.0,1. Premier League,Fulham
0,2017-2018,Fernando Llorente,32,1024,238.0,195cm, FW,5.384615384615384,0.0,0.38,1. Premier League,Tottenham
1,2018-2019,Fernando Llorente,33,1089,694.0,195cm, FW,6.883116883116883,0.52,0.13,1. Premier League,Tottenham
0,2017-2018,Kiko Femenía,26,676,1713.0,174cm," DF-FW-MF (FB-WM, right)",0.5263157894736842,0.05,0.05,1. Premier League,Watford
1,2018-2019,Kiko Femenía,27,729,2049.0,174cm," DF-FW-MF (FB-WM, right)",0.5263157894736842,0.04,0.04,1. Premier League,Watford
2,2019-2020,Kiko Femenía,28,784,2237.0,174cm," DF-FW-MF (FB-WM, right)",0.5220883534136547,0.0,0.0,1. Premier League,Watford
3,2021-2022,Kiko Femenía,30,900,2142.0,174cm," DF-FW-MF (FB-WM, right)",0.5042016806722689,0.21,0.0,1. Premier League,Watford
0,2018-2019,Artur Boruc,38,1444,1080.0,193cm, GK,0.16666666666666666,0.0,0.0,1. Premier League,Bournemouth
0,2019-2020,Ahmed Elmohamady,31,961,1031.0,182cm," DF-MF (FB-WM, right)",2.5217391304347827,0.09,0.09,1. Premier League,Aston Villa
1,2020-2021,Ahmed Elmohamady,32,1024,839.0,182cm," DF-MF (FB-WM, right)",1.9354838709677418,0.0,0.0,1. Premier League,Aston Villa
0,2017-2018,Davide Zappacosta,25,625,1098.0,182cm," DF-MF (FB-WM, right)",2.0566318926974665,0.08,0.08,1. Premier League,Chelsea
1,2018-2019,Davide Zappacosta,26,676,128.0,182cm," DF-MF (FB-WM, right)",2.142857142857143,0.0,0.0,1. Premier League,Chelsea
0,2018-2019,Diogo Jota,21,441,2355.0,178cm, FW-MF,1.0305343511450382,0.19,0.34,1. Premier League,Wolves
1,2019-2020,Diogo Jota,22,484,2284.0,178cm, FW-MF,1.1023622047244095,0.04,0.28,1. Premier League,Wolves
2,2020-2021,Diogo Jota,23,529,1112.0,178cm, FW-MF,1.129032258064516,0.0,0.73,1. Premier League,Liverpool
3,2021-2022,Diogo Jota,24,576,2364.0,178cm, FW-MF,1.4068441064638784,0.15,0.57,1. Premier League,Liverpool
4,2022-2023,Diogo Jota,25,625,750.0,178cm, FW-MF,1.4457831325301203,0.48,0.24,1. Premier League,Liverpool
0,2017-2018,Danny Welbeck,26,676,1194.0,185cm, FW-MF (WM),1.7293233082706767,0.15,0.38,1. Premier League,Arsenal
1,2018-2019,Danny Welbeck,27,729,153.0,185cm, FW-MF (WM),4.11764705882353,0.59,0.59,1. Premier League,Arsenal
2,2019-2020,Danny Welbeck,28,784,822.0,185cm, FW-MF (WM),3.076923076923077,0.0,0.22,1. Premier League,Watford
3,2020-2021,Danny Welbeck,29,841,1545.0,185cm, FW-MF (WM),1.2209302325581395,0.06,0.35,1. Premier League,Brighton
4,2021-2022,Danny Welbeck,30,900,1478.0,185cm, FW-MF (WM),2.8658536585365857,0.12,0.37,1. Premier League,Brighton
5,2022-2023,Danny Welbeck,31,961,1475.0,185cm, FW-MF (WM),1.707317073170732,0.12,0.24,1. Premier League,Brighton
0,2021-2022,Raphaël Varane,28,784,1831.0,194cm," DF-MF (CB-DM, right)",2.70935960591133,0.05,0.05,1. Premier League,Manchester Utd
1,2022-2023,Raphaël Varane,29,841,1651.0,194cm," DF-MF (CB-DM, right)",1.9672131147540983,0.0,0.0,1. Premier League,Manchester Utd
0,2020-2021,Ezgjan Alioski,28,784,2461.0,172cm," DF-FW-MF (AM-FB, left)",1.4285714285714286,0.11,0.07,1. Premier League,Leeds United
0,2018-2019,Nathaniel Mendez-Laing,26,676,985.0,178cm," FW-MF (AM-WM, right)",2.110091743119266,0.09,0.37,1. Premier League,Cardiff City
0,2017-2018,Chris Smalling,27,729,2536.0,194cm, DF (CB),3.8297872340425534,0.0,0.14,1. Premier League,Manchester Utd
1,2018-2019,Chris Smalling,28,784,2127.0,194cm, DF (CB),4.279661016949152,0.0,0.04,1. Premier League,Manchester Utd
0,2018-2019,Romain Saïss,28,784,1149.0,190cm," DF-MF (CB-CM, left)",4.453125,0.0,0.16,1. Premier League,Wolves
1,2019-2020,Romain Saïss,29,841,2705.0,190cm," DF-MF (CB-CM, left)",3.953488372093023,0.03,0.07,1. Premier League,Wolves
2,2020-2021,Romain Saïss,30,900,2407.0,190cm," DF-MF (CB-CM, left)",2.659176029962547,0.0,0.11,1. Premier League,Wolves
3,2021-2022,Romain Saïss,31,961,2705.0,190cm," DF-MF (CB-CM, left)",2.3920265780730894,0.0,0.07,1. Premier League,Wolves
0,2017-2018,Patrick van Aanholt,26,676,2184.0,175cm," DF (FB, left)",0.24691358024691357,0.04,0.21,1. Premier League,Crystal Palace
1,2018-2019,Patrick van Aanholt,27,729,3195.0,175cm," DF (FB, left)",0.28169014084507044,0.06,0.08,1. Premier League,Crystal Palace
2,2019-2020,Patrick van Aanholt,28,784,2507.0,175cm," DF (FB, left)",0.5734767025089607,0.07,0.11,1. Premier League,Crystal Palace
3,2020-2021,Patrick van Aanholt,29,841,1777.0,175cm," DF (FB, left)",0.5583756345177665,0.05,0.0,1. Premier League,Crystal Palace
0,2017-2018,Tom Cleverley,27,729,1902.0,175cm, MF (CM),1.1374407582938388,0.09,0.05,1. Premier League,Watford
1,2018-2019,Tom Cleverley,28,784,478.0,175cm, MF (CM),0.7547169811320755,0.0,0.19,1. Premier League,Watford
2,2019-2020,Tom Cleverley,29,841,971.0,175cm, MF (CM),0.8333333333333333,0.0,0.09,1. Premier League,Watford
3,2021-2022,Tom Cleverley,31,961,1616.0,175cm, MF (CM),0.7777777777777778,0.11,0.0,1. Premier League,Watford
0,2020-2021,Mohammed Salisu,21,441,844.0,191cm," DF (CB, left)",2.234042553191489,0.0,0.0,1. Premier League,Southampton
1,2021-2022,Mohammed Salisu,22,484,2972.0,191cm," DF (CB, left)",3.0606060606060606,0.0,0.0,1. Premier League,Southampton
2,2022-2023,Mohammed Salisu,23,529,1973.0,191cm," DF (CB, left)",2.5114155251141552,0.05,0.0,1. Premier League,Southampton
0,2017-2018,Vincent Kompany,31,961,1394.0,193cm, DF (CB),2.7096774193548385,0.06,0.06,1. Premier League,Manchester City
1,2018-2019,Vincent Kompany,32,1024,1224.0,193cm, DF (CB),2.6470588235294117,0.0,0.07,1. Premier League,Manchester City
0,2017-2018,Eddie Nketiah,18,324,20.0,175cm, FW,0.0,4.5,0.0,1. Premier League,Arsenal
1,2018-2019,Eddie Nketiah,19,361,67.0,175cm, FW,0.0,0.0,1.34,1. Premier League,Arsenal
2,2019-2020,Eddie Nketiah,20,400,633.0,175cm, FW,2.4035087719298245,0.0,0.28,1. Premier League,Arsenal
