,Season,Name,Age,Age_Squared,Min,Height,Position,Aerial_duels_per90,Assists_per90,Goals_per90,League,Squad
0,2017-2018,Alexandre Lacazette,26,676,2202.0,175cm, FW,1.183673469387755,0.16,0.57,1. Premier League,Arsenal
1,2018-2019,Alexandre Lacazette,27,729,2502.0,175cm, FW,1.6546762589928057,0.29,0.47,1. Premier League,Arsenal
2,2019-2020,Alexandre Lacazette,28,784,1874.0,175cm, FW,1.25,0.19,0.48,1. Premier League,Arsenal
3,2020-2021,Alexandre Lacazette,29,841,1923.0,175cm, FW,1.2616822429906542,0.09,0.61,1. Premier League,Arsenal
4,2021-2022,Alexandre Lacazette,30,900,1782.0,175cm, FW,1.0606060606060606,0.35,0.2,1. Premier League,Arsenal
0,2017-2018,Federico Fernández,28,784,2676.0,189cm, DF (CB),2.4242424242424243,0.03,0.03,1. Premier League,Swansea City
1,2018-2019,Federico Fernández,29,841,1484.0,189cm, DF (CB),4.242424242424242,0.06,0.0,1. Premier League,Newcastle Utd
2,2019-2020,Federico Fernández,30,900,2620.0,189cm, DF (CB),2.0618556701030926,0.07,0.07,1. Premier League,Newcastle Utd
3,2020-2021,Federico Fernández,31,961,2079.0,189cm, DF (CB),2.0779220779220777,0.0,0.0,1. Premier League,Newcastle Utd
4,2021-2022,Federico Fernández,32,1024,523.0,189cm, DF (CB),1.7241379310344829,0.0,0.0,1. Premier League,Newcastle Utd
0,2019-2020,Chris Basham,31,961,3242.0,185cm," DF-MF (CB, right)",2.9722222222222223,0.03,0.0,1. Premier League,Sheffield Utd
1,2020-2021,Chris Basham,32,1024,2576.0,185cm," DF-MF (CB, right)",1.8881118881118881,0.03,0.0,1. Premier League,Sheffield Utd
0,2017-2018,Marcos Rojo,27,729,640.0,186cm," DF (CB-FB, left)",2.2535211267605635,0.0,0.0,1. Premier League,Manchester Utd
1,2018-2019,Marcos Rojo,28,784,212.0,186cm," DF (CB-FB, left)",1.25,0.0,0.0,1. Premier League,Manchester Utd
2,2019-2020,Marcos Rojo,29,841,122.0,186cm," DF (CB-FB, left)",1.4285714285714286,0.0,0.0,1. Premier League,Manchester Utd
0,2018-2019,Fabinho,24,576,2017.0,188cm, DF-MF (CM-DM-FB),2.410714285714286,0.09,0.04,1. Premier League,Liverpool
1,2019-2020,Fabinho,25,625,2079.0,188cm, DF-MF (CM-DM-FB),1.7748917748917747,0.13,0.09,1. Premier League,Liverpool
2,2020-2021,Fabinho,26,676,2567.0,188cm, DF-MF (CM-DM-FB),1.894736842105263,0.0,0.0,1. Premier League,Liverpool
3,2021-2022,Fabinho,27,729,2314.0,188cm, DF-MF (CM-DM-FB),1.6731517509727627,0.04,0.19,1. Premier League,Liverpool
4,2022-2023,Fabinho,28,784,2026.0,188cm, DF-MF (CM-DM-FB),0.9333333333333333,0.0,0.0,1. Premier League,Liverpool
0,2020-2021,Robin Koch,24,576,1132.0,192cm, DF-MF (CB),2.9365079365079367,0.0,0.0,1. Premier League,Leeds United
1,2021-2022,Robin Koch,25,625,1574.0,192cm, DF-MF (CB),2.5714285714285716,0.0,0.0,1. Premier League,Leeds United
2,2022-2023,Robin Koch,26,676,2635.0,192cm, DF-MF (CB),2.901023890784983,0.0,0.0,1. Premier League,Leeds United
0,2017-2018,Julián Speroni,38,1444,990.0,183cm, GK,0.18181818181818182,0.0,0.0,1. Premier League,Crystal Palace
1,2018-2019,Julián Speroni,39,1521,90.0,183cm, GK,1.0,0.0,0.0,1. Premier League,Crystal Palace
0,2017-2018,Eden Hazard,26,676,2422.0,173cm," FW-MF (AM-WM, left)",0.29739776951672864,0.15,0.45,1. Premier League,Chelsea
1,2018-2019,Eden Hazard,27,729,2923.0,173cm," FW-MF (AM-WM, left)",0.5846153846153846,0.46,0.49,1. Premier League,Chelsea
0,2021-2022,Nathan Collins,20,400,1670.0,193cm," DF (CB, right)",3.064516129032258,0.0,0.11,1. Premier League,Burnley
1,2022-2023,Nathan Collins,21,441,1579.0,193cm," DF (CB, right)",1.7142857142857142,0.0,0.0,1. Premier League,Wolves
0,2021-2022,Marc Cucurella,23,529,3089.0,175cm," DF-MF (FB-WM, left)",1.1661807580174928,0.03,0.03,1. Premier League,Brighton
1,2022-2023,Marc Cucurella,24,576,1671.0,175cm," DF-MF (FB-WM, left)",0.8602150537634408,0.11,0.0,1. Premier League,Chelsea
0,2017-2018,Javier Manquillo,23,529,1758.0,175cm," DF (FB, right)",1.1282051282051282,0.05,0.0,1. Premier League,Newcastle Utd
1,2018-2019,Javier Manquillo,24,576,1101.0,175cm," DF (FB, right)",1.557377049180328,0.25,0.0,1. Premier League,Newcastle Utd
2,2019-2020,Javier Manquillo,25,625,1599.0,175cm," DF (FB, right)",0.898876404494382,0.06,0.0,1. Premier League,Newcastle Utd
3,2020-2021,Javier Manquillo,26,676,825.0,175cm," DF (FB, right)",1.5217391304347827,0.0,0.0,1. Premier League,Newcastle Utd
4,2021-2022,Javier Manquillo,27,729,1257.0,175cm," DF (FB, right)",1.1428571428571428,0.14,0.07,1. Premier League,Newcastle Utd
5,2022-2023,Javier Manquillo,28,784,15.0,175cm," DF (FB, right)",0.0,0.0,0.0,1. Premier League,Newcastle Utd
0,2017-2018,Fraser Forster,29,841,1800.0,201cm, GK,0.0,0.0,0.0,1. Premier League,Southampton
1,2018-2019,Fraser Forster,30,900,90.0,201cm, GK,0.0,0.0,0.0,1. Premier League,Southampton
2,2020-2021,Fraser Forster,32,1024,720.0,201cm, GK,0.25,0.0,0.0,1. Premier League,Southampton
3,2021-2022,Fraser Forster,33,1089,1710.0,201cm, GK,0.3684210526315789,0.0,0.0,1. Premier League,Southampton
4,2022-2023,Fraser Forster,34,1156,630.0,201cm, GK,0.0,0.0,0.0,1. Premier League,Tottenham
0,2017-2018,Will Hughes,22,484,990.0,185cm, MF (CM),0.2727272727272727,0.27,0.18,1. Premier League,Watford
1,2018-2019,Will Hughes,23,529,2418.0,185cm, MF (CM),0.8178438661710038,0.15,0.07,1. Premier League,Watford
2,2019-2020,Will Hughes,24,576,2252.0,185cm, MF (CM),1.0,0.04,0.04,1. Premier League,Watford
3,2021-2022,Will Hughes,26,676,1053.0,185cm, MF (CM),0.9401709401709403,0.09,0.0,1. Premier League,Crystal Palace
4,2022-2023,Will Hughes,27,729,462.0,185cm, MF (CM),0.5882352941176471,0.19,0.0,1. Premier League,Crystal Palace
0,2021-2022,Milot Rashica,25,625,2229.0,177cm, FW-MF (AM),0.48387096774193544,0.08,0.04,1. Premier League,Norwich City
0,2021-2022,Bruno Guimarães,23,529,1034.0,182cm, MF (CM-DM),1.0071667462971812,0.09,0.44,1. Premier League,Newcastle Utd
1,2022-2023,Bruno Guimarães,24,576,2027.0,182cm, MF (CM-DM),0.5777777777777777,0.18,0.13,1. Premier League,Newcastle Utd
0,2017-2018,Trent Alexander-Arnold,18,324,1573.0,175cm," DF (FB, right)",0.2857142857142857,0.06,0.06,1. Premier League,Liverpool
1,2018-2019,Trent Alexander-Arnold,19,361,2462.0,175cm," DF (FB, right)",0.3284671532846716,0.44,0.04,1. Premier League,Liverpool
2,2019-2020,Trent Alexander-Arnold,20,400,3175.0,175cm," DF (FB, right)",0.42492917847025496,0.37,0.11,1. Premier League,Liverpool
3,2020-2021,Trent Alexander-Arnold,21,441,3031.0,175cm," DF (FB, right)",0.2373887240356083,0.21,0.06,1. Premier League,Liverpool
4,2021-2022,Trent Alexander-Arnold,22,484,2853.0,175cm," DF (FB, right)",0.47318611987381703,0.38,0.06,1. Premier League,Liverpool
5,2022-2023,Trent Alexander-Arnold,23,529,2203.0,175cm," DF (FB, right)",0.5714285714285714,0.2,0.04,1. Premier League,Liverpool
0,2017-2018,Mamadou Sakho,27,729,1600.0,188cm," DF (CB, left)",2.191011235955056,0.11,0.06,1. Premier League,Crystal Palace
1,2018-2019,Mamadou Sakho,28,784,2416.0,188cm," DF (CB, left)",1.828358208955224,0.0,0.0,1. Premier League,Crystal Palace
2,2019-2020,Mamadou Sakho,29,841,931.0,188cm," DF (CB, left)",1.6504854368932038,0.0,0.0,1. Premier League,Crystal Palace
