,Current Season,Club Name,Median Transfer Fee for previous 3 seasons (Euro Millions)
0,2017/2018,AFC Bournemouth,3.5
1,2017/2018,Arsenal FC,14.0
2,2017/2018,Aston Villa,3.8
3,2017/2018,Brighton & Hove Albion,0.4
4,2017/2018,Burnley FC,10.8
5,2017/2018,Chelsea FC,10.0
6,2017/2018,Crystal Palace,5.05
7,2017/2018,Everton FC,9.3
8,2017/2018,Huddersfield Town,0.6
9,2017/2018,Hull City,11.5
10,2017/2018,Leicester City,5.5
11,2017/2018,Liverpool FC,5.85
12,2017/2018,Manchester City,7.0
13,2017/2018,Manchester United,7.4
14,2017/2018,Middlesbrough FC,3.2
15,2017/2018,Newcastle United,1.7
16,2017/2018,Norwich City,6.0
17,2017/2018,Southampton FC,15.25
18,2017/2018,Stoke City,3.35
19,2017/2018,Sunderland AFC,2.75
20,2017/2018,Swansea City,7.9
21,2017/2018,Tottenham Hotspur,8.75
22,2017/2018,Watford FC,4.41
23,2017/2018,West Bromwich Albion,2.0
24,2017/2018,West Ham United,5.6
0,2018/2019,AFC Bournemouth,3.5
1,2018/2019,Arsenal FC,11.0
2,2018/2019,Brighton & Hove Albion,1.7
3,2018/2019,Burnley FC,8.0
4,2018/2019,Chelsea FC,10.75
5,2018/2019,Crystal Palace,4.7
6,2018/2019,Everton FC,9.0
7,2018/2019,Fulham FC,2.675
8,2018/2019,Huddersfield Town,0.6
9,2018/2019,Hull City,11.5
10,2018/2019,Leicester City,10.5
11,2018/2019,Liverpool FC,5.85
12,2018/2019,Manchester City,7.0
13,2018/2019,Manchester United,7.925
14,2018/2019,Middlesbrough FC,3.2
15,2018/2019,Newcastle United,3.05
16,2018/2019,Southampton FC,13.7
17,2018/2019,Stoke City,2.3
18,2018/2019,Sunderland AFC,2.75
19,2018/2019,Swansea City,7.9
20,2018/2019,Tottenham Hotspur,9.4
21,2018/2019,Watford FC,4.7
22,2018/2019,West Bromwich Albion,2.0
23,2018/2019,West Ham United,7.65
24,2018/2019,Wolverhampton Wanderers,2.55
0,2019/2020,AFC Bournemouth,8.95
1,2019/2020,Arsenal FC,7.85
2,2019/2020,Aston Villa,3.0
3,2019/2020,Brighton & Hove Albion,1.45
4,2019/2020,Burnley FC,8.4
5,2019/2020,Chelsea FC,9.9
6,2019/2020,Crystal Palace,29.0
7,2019/2020,Everton FC,12.0
8,2019/2020,Fulham FC,2.675
9,2019/2020,Huddersfield Town,0.6
10,2019/2020,Leicester City,13.25
11,2019/2020,Liverpool FC,7.2
12,2019/2020,Manchester City,8.0
13,2019/2020,Manchester United,7.925
14,2019/2020,Newcastle United,3.05
15,2019/2020,Norwich City,1.0
16,2019/2020,Sheffield United,0.175
17,2019/2020,Southampton FC,13.7
