,Season,Name,Age,Age_Squared,Min,Height,Aerial_duels_per90,Assists_per90,Goals_per90,Squad,Median Transfer Fee for previous 3 seasons (Euro Millions),market_value_in_eur,Position_central defensive midfield,Position_central defensive midfielder,Position_centre midfield,Position_centreback,Position_fullback,Position_goalkeeper,Position_side midfield,Position_striker,Position_winger,country_of_citizenship_Albania,country_of_citizenship_Algeria,country_of_citizenship_Argentina,country_of_citizenship_Belgium,country_of_citizenship_Brazil,country_of_citizenship_Burkina Faso,country_of_citizenship_Canada,country_of_citizenship_Colombia,country_of_citizenship_Cote d'Ivoire,country_of_citizenship_Curacao,country_of_citizenship_DR Congo,country_of_citizenship_Denmark,country_of_citizenship_Dominican Republic,country_of_citizenship_Egypt,country_of_citizenship_England,country_of_citizenship_France,country_of_citizenship_Germany,country_of_citizenship_Ghana,country_of_citizenship_Greece,country_of_citizenship_Guinea,country_of_citizenship_Ireland,country_of_citizenship_Israel,country_of_citizenship_Jamaica,country_of_citizenship_Japan,country_of_citizenship_Kenya,country_of_citizenship_Mali,country_of_citizenship_Morocco,country_of_citizenship_Netherlands,country_of_citizenship_New Zealand,country_of_citizenship_Nigeria,country_of_citizenship_Northern Ireland,country_of_citizenship_Norway,country_of_citizenship_Philippines,country_of_citizenship_Poland,country_of_citizenship_Portugal,country_of_citizenship_Scotland,country_of_citizenship_Senegal,country_of_citizenship_Serbia,country_of_citizenship_Slovakia,country_of_citizenship_Spain,country_of_citizenship_Sweden,country_of_citizenship_Switzerland,country_of_citizenship_Tunisia,country_of_citizenship_Ukraine,country_of_citizenship_United States,country_of_citizenship_Uruguay,country_of_citizenship_Venezuela,country_of_citizenship_Wales,country_of_citizenship_Zambia,foot_Both,foot_Left,foot_Right
0,2019-2020,Enda Stevens,29,841,3345.0,183.0,0.8333333333333333,0.11,0.05,Sheffield United,0.175,5500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2020-2021,Enda Stevens,30,900,2700.0,183.0,1.1666666666666667,0.03,0.0,Sheffield United,0.175,3500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2017-2018,Joe Allen,27,729,3139.0,168.0,1.0315186246418335,0.17,0.06,Stoke City,3.35,18000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,2019-2020,Daniel Podence,23,529,289.0,165.0,0.0,0.0,0.31,Wolverhampton Wanderers,3.4,12000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2019-2020,Daniel Podence,23,529,289.0,165.0,0.0,0.0,0.31,Wolverhampton Wanderers,3.4,12000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2020-2021,Daniel Podence,24,576,1661.0,165.0,0.3783783783783784,0.11,0.16,Wolverhampton Wanderers,3.45,25000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2020-2021,Daniel Podence,24,576,1661.0,165.0,0.3783783783783784,0.11,0.16,Wolverhampton Wanderers,3.45,25000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2017-2018,Alex McCarthy,27,729,1620.0,193.0,0.5555555555555556,0.0,0.0,Southampton FC,15.25,2500000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2017-2018,Alex McCarthy,27,729,1620.0,193.0,0.5555555555555556,0.0,0.0,Southampton FC,15.25,2500000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2018-2019,Alex McCarthy,28,784,2250.0,193.0,0.64,0.0,0.0,Southampton FC,13.7,5000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2018-2019,Alex McCarthy,28,784,2250.0,193.0,0.64,0.0,0.0,Southampton FC,13.7,5000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2019-2020,Alex McCarthy,29,841,2520.0,193.0,0.5714285714285714,0.0,0.0,Southampton FC,13.7,4000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,2019-2020,Alex McCarthy,29,841,2520.0,193.0,0.5714285714285714,0.0,0.0,Southampton FC,13.7,4000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
